;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;DBM000+2520;20241106.052;8.12;8.0005;7.99676;;0.001774245931212306;results/calculationTables/results_20241106.052.csv
1;DBM000+2520;20241106.051;8.12;8.0005;7.99704;;0.0017745978614846667;results/calculationTables/results_20241106.051.csv
2;DBM000+2520;20241106.055;7.512;8.0005;7.10968;;0.001749606224576697;results/calculationTables/results_20241106.055.csv
3;DBM000+2520;20241106.053;15.12;15.400999999;15.10684;;0.0017407264625189144;results/calculationTables/results_20241106.053.csv
4;DBM000+2520;20241106.057;6.12;6.001;5.99916;;0.0017808316130554175;results/calculationTables/results_20241106.057.csv
5;DBM000+2520;20241106.058;8.12;8.0005;7.99752;;0.0017734193477932853;results/calculationTables/results_20241106.058.csv
6;DBM000+2520;20241106.056;8.12;8.0005;7.99756;;0.0017702779149542617;results/calculationTables/results_20241106.056.csv
7;DBM000+2520;20241106.054;8.12;8.0005;7.9974;;0.0017701741139383729;results/calculationTables/results_20241106.054.csv
8;DBM000+2520;20241106.043;2.12;2.0005;1.99784;;0.0018321200365469291;results/calculationTables/results_20241106.043.csv
9;DBM000+2520;20241106.044;1.92;1.801;1.79448;;0.0018450543839817308;results/calculationTables/results_20241106.044.csv
10;DBM000+2520;20241106.042;2.12;2.0005;1.99716;;0.0018150314941060475;results/calculationTables/results_20241106.042.csv
11;DBM000+2520;20241106.040;1.658;2.0005;1.15248;;0.0021760141997464615;results/calculationTables/results_20241106.040.csv
12;DBM000+2520;20241106.045;2.12;2.0005;1.99656;;0.0018158449339715375;results/calculationTables/results_20241106.045.csv
13;DBM000+2520;20241106.046;2.12;2.0005;1.9962;;0.0018360895118446233;results/calculationTables/results_20241106.046.csv
14;DBM000+2520;20250401.042;1.648;3.0005;1.27744;0.27354279961306655;0.002199673591182037;results/calculationTables/results_20250401.042.csv
15;DBM000+2520;20250401.068;10.12;10.001;10.02752;0.007188636894574951;0.0017618037231796892;results/calculationTables/results_20250401.068.csv
16;DBM000+2520;20250401.063;10.12;10.001;9.86664;0.0010894588751043707;0.0017773201704525399;results/calculationTables/results_20250401.063.csv
17;DBM000+2520;20250401.070;9.667;12.000999999;9.66472192;0.008195437662667912;0.001883513813981287;results/calculationTables/results_20250401.070.csv
