;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;DBM000-2520;20250226.074;9.12;9.001;8.9996;0.00635638395282351;0.0017644396130827504;results/calculationTables/results_20250226.074.csv
1;DBM000-2520;20250226.030;29.12;29.001;28.9992;0.014666695944961668;;results/calculationTables/results_20250226.030.csv
2;DBM000-2520;20250226.075;6.812;14.001;6.60732;0.013805055240671205;0.0017566927911708621;results/calculationTables/results_20250226.075.csv
3;DBM000-2520;20250226.076;3.412;14.001;3.22788;0.02033803589322881;0.0017684948820896156;results/calculationTables/results_20250226.076.csv
4;DBM000-2520;20250226.034;15.12;15.001;14.99916;0.015953688470577602;0.0017536691254952065;results/calculationTables/results_20250226.034.csv
5;DBM000-2520;20250226.037;6.512;15.001;6.10348;0.0003415340862256363;0.0018355132987828676;results/calculationTables/results_20250226.037.csv
6;DBM000-2520;20250226.036;5.412;15.001;5.00628;0.0025801148322674543;0.0018426186385137394;results/calculationTables/results_20250226.036.csv
7;DBM000-2520;20250226.035;5.512;15.001;5.06188;-0.12501422914043356;0.0018505738990928348;results/calculationTables/results_20250226.035.csv
8;DBM000-2520;20250226.033;7.112;15.001;6.90064;0.010883427104699415;0.0017531029921363404;results/calculationTables/results_20250226.033.csv
9;DBM000-2520;20250226.032;29.12;29.001;28.99964;0.01003162624406079;0.0017358455531835486;results/calculationTables/results_20250226.032.csv
10;DBM000-2520;20250226.031;29.12;29.001;29.00052;0.014352754362639606;;results/calculationTables/results_20250226.031.csv
11;DBM000-2520;20250226.042;15.12;15.001;1.49336;0.029533353088786695;0.0009321202509594878;results/calculationTables/results_20250226.042.csv
12;DBM000-2520;20250226.046;15.12;15.001;1.49488;0.036369483472426196;0.0009363442479752097;results/calculationTables/results_20250226.046.csv
13;DBM000-2520;20250226.044;6.212;15.001;5.8758;0.014154188413656725;0.0017906183694163557;results/calculationTables/results_20250226.044.csv
14;DBM000-2520;20250226.045;5.912;15.001;5.5902;0.010375237156764926;0.0017715892724477734;results/calculationTables/results_20250226.045.csv
15;DBM000-2520;20250226.041;10.12;15.001;10.1092;0.016559576102644958;0.0017191410309442664;results/calculationTables/results_20250226.041.csv
16;DBM000-2520;20250226.040;7.12;7.001;6.99964;0.045140069633925806;0.0017388366360539097;results/calculationTables/results_20250226.040.csv
17;DBM000-2520;20250226.039;15.12;15.001;15.00048;0.062023155528728884;0.001697524160362138;results/calculationTables/results_20250226.039.csv
18;DBM000-2520;20250226.038;15.12;15.001;15.00044;0.008434566650918036;0.0017114455634299882;results/calculationTables/results_20250226.038.csv
19;DBM000-2520;20250226.048;15.12;15.001;15.00032;0.006872040137321272;0.0017248504611372091;results/calculationTables/results_20250226.048.csv
20;DBM000-2520;20250226.055;15.12;15.001;3.6398;0.0033706036057035327;0.0012222327757561862;results/calculationTables/results_20250226.055.csv
21;DBM000-2520;20250226.049;4.412;15.001;4.27508;0.301793196398961;0.0017647287263950018;results/calculationTables/results_20250226.049.csv
22;DBM000-2520;20250226.053;2.012;15.001;1.59004;0.05411378648955437;0.002089729143468121;results/calculationTables/results_20250226.053.csv
23;DBM000-2520;20250226.051;15.12;15.001;10.54276;0.03186175407256413;0.0017012805909900034;results/calculationTables/results_20250226.051.csv
24;DBM000-2520;20250226.052;9.312;15.001;9.04752;-0.046806218266114114;0.0017696448230642276;results/calculationTables/results_20250226.052.csv
25;DBM000-2520;20250226.050;11.812;15.001;11.34092;0.004701126704956523;0.0017930253130876534;results/calculationTables/results_20250226.050.csv
26;DBM000-2520;20250226.060;3.312;15.001;3.14444;0.010394615120979006;0.0017775904281500093;results/calculationTables/results_20250226.060.csv
27;DBM000-2520;20250226.064;15.12;15.001;10.52976;-0.0017474986477617653;0.0017092826764473488;results/calculationTables/results_20250226.064.csv
