;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;DIR001+2520;20241211.071;6.12;6.001;6.05828;;0.001772987542416945;results/calculationTables/results_20241211.071.csv
1;DIR001+2520;20241211.075;12.62;12.5;12.49628;;0.001776215633361248;results/calculationTables/results_20241211.075.csv
2;DIR001+2520;20241211.076;14.936;19.5;14.7944;;0.0017703768068767192;results/calculationTables/results_20241211.076.csv
3;DIR001+2520;20241211.072;6.12;6.001;5.99884;;0.001794212008665923;results/calculationTables/results_20241211.072.csv
4;DIR001+2520;20241211.074;30.12;30.0;29.99712;;;results/calculationTables/results_20241211.074.csv
5;DIR001+2520;20241211.080;15.12;15.001;14.99852;;0.0017773176049137363;results/calculationTables/results_20241211.080.csv
6;DIR001+2520;20241211.082;12.62;12.5;12.49812;;0.0017804499343843014;results/calculationTables/results_20241211.082.csv
7;DIR001+2520;20241211.079;15.12;15.001;14.99824;;;results/calculationTables/results_20241211.079.csv
8;DIR001+2520;20241211.078;1.812;12.5;1.61920256;;0.0027586906406285128;results/calculationTables/results_20241211.078.csv
9;DIR001+2520;20241211.077;19.62;19.5;19.49668;;;results/calculationTables/results_20241211.077.csv
10;DIR001+2520;20241211.083;30.12;30.0;29.99812;;0.0009769371346302809;results/calculationTables/results_20241211.083.csv
11;DIR001+2520;20241029.028;7.62;7.501;7.49844;;0.001784753973822835;results/calculationTables/results_20241029.028.csv
12;DIR001+2520;20241029.036;20.12;20.001;2.38372;;0.0011426587794565954;results/calculationTables/results_20241029.036.csv
13;DIR001+2520;20241029.040;0.712;20.001;0.23256;;0.003597979196711964;results/calculationTables/results_20241029.040.csv
14;DIR001+2520;20241029.031;12.62;12.5;12.49828;;0.0017761690165033418;results/calculationTables/results_20241029.031.csv
15;DIR001+2520;20241029.027;2.12;2.001;2.0004;;0.001808803563360379;results/calculationTables/results_20241029.027.csv
16;DIR001+2520;20241029.035;16.712;19.5;16.09828;;0.0017859997348358535;results/calculationTables/results_20241029.035.csv
17;DIR001+2520;20241029.026;2.62;2.501;2.49884;;0.0018193749892170565;results/calculationTables/results_20241029.026.csv
18;DIR001+2520;20241029.030;9.012;15.001;8.56644;;0.0017568443034926406;results/calculationTables/results_20241029.030.csv
19;DIR001+2520;20241029.032;1.412;3.001;0.9686;;0.0017586024253137065;results/calculationTables/results_20241029.032.csv
20;DIR001+2520;20241029.039;20.12;20.001;19.99844;;0.0017721592725331433;results/calculationTables/results_20241029.039.csv
21;DIR001+2520;20241029.037;17.612;19.5;17.15508;;0.0017602595914901007;results/calculationTables/results_20241029.037.csv
22;DIR001+2520;20241211.047;3.62;3.501;3.49768;;0.0017946449576405638;results/calculationTables/results_20241211.047.csv
23;DIR001+2520;20241211.046;3.62;3.501;3.49776;;0.0017930032417030563;results/calculationTables/results_20241211.046.csv
24;DIR001+2520;20241211.048;3.62;3.501;3.49772;;0.0018031850474693283;results/calculationTables/results_20241211.048.csv
25;DIR001+2520;20241211.051;4.62;4.501;4.49764;;0.001795555052172584;results/calculationTables/results_20241211.051.csv
26;DIR001+2520;20241211.049;5.62;5.501;5.49772;;0.0017918373820518336;results/calculationTables/results_20241211.049.csv
27;DIR001+2520;20241211.055;20.12;20.001;19.99792;;0.0017636470150492922;results/calculationTables/results_20241211.055.csv
28;DIR001+2520;20241211.052;30.12;30.0;29.99632;;0.001768270956203583;results/calculationTables/results_20241211.052.csv
29;DIR001+2520;20241211.054;6.912;20.0;6.77732;;0.0017743789534280414;results/calculationTables/results_20241211.054.csv
30;DIR001+2520;20241211.057;20.12;20.001;19.99784;;0.001767570852888441;results/calculationTables/results_20241211.057.csv
31;DIR001+2520;20241211.058;20.12;20.001;19.99736;;;results/calculationTables/results_20241211.058.csv
32;DIR001+2520;20241211.059;30.12;30.0;29.99708;;0.0017699499108173367;results/calculationTables/results_20241211.059.csv
33;DIR001+2520;20241211.061;20.12;20.001;19.99796;;;results/calculationTables/results_20241211.061.csv
34;DIR001+2520;20241211.064;1.512;6.001;1.24532;;0.002481106312409383;results/calculationTables/results_20241211.064.csv
35;DIR001+2520;20241211.062;26.912;30.0;26.77356;;0.001771769375664233;results/calculationTables/results_20241211.062.csv
36;DIR001+2520;20241211.063;30.12;30.0;29.9974;;;results/calculationTables/results_20241211.063.csv
