;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;EHM001+2520;20241106.007;6.12;6.001;5.99804;;0.001785757162847686;results/calculationTables/results_20241106.007.csv
1;EHM001+2520;20241106.009;6.12;6.001;5.99744;;0.0017789879884759744;results/calculationTables/results_20241106.009.csv
2;EHM001+2520;20241106.006;15.12;15.001;14.99696;;0.001773775417427139;results/calculationTables/results_20241106.006.csv
3;EHM001+2520;20241106.005;15.12;15.001;14.99756;;0.0017639919371460354;results/calculationTables/results_20241106.005.csv
4;EHM001+2520;20241106.029;30.12;30.001;29.99836;;0.0017359216947270117;results/calculationTables/results_20241106.029.csv
5;EHM001+2520;20241105.052;12.52;12.000999999;11.51228;;0.0017896707995508155;results/calculationTables/results_20241105.052.csv
6;EHM001+2520;20241105.049;10.02;9.401;9.39816;;0.0018410568538895391;results/calculationTables/results_20241105.049.csv
7;EHM001+2520;20241105.050;1.912;12.000999999;1.5076;;0.0018020560982128678;results/calculationTables/results_20241105.050.csv
8;EHM001+2520;20241105.044;2.52;1.801;1.79872;;0.0020495378870059294;results/calculationTables/results_20241105.044.csv
9;EHM001+2520;20241105.048;8.52;8.401;8.39772;;0.001780582867708997;results/calculationTables/results_20241105.048.csv
10;EHM001+2520;20241105.047;8.52;8.401;8.39948;;0.0017809718800998488;results/calculationTables/results_20241105.047.csv
11;EHM001+2520;20241105.046;2.52;1.801;1.79872;;0.002040720762796215;results/calculationTables/results_20241105.046.csv
12;EHM001+2520;20241105.051;12.52;12.000999999;11.99768;;0.0018258028232104782;results/calculationTables/results_20241105.051.csv
13;EHM001+2520;20241105.054;15.52;15.001;14.99844;;0.001807428386340743;results/calculationTables/results_20241105.054.csv
14;EHM001+2520;20241105.053;9.312;15.001;8.82692;;0.0017771237044379965;results/calculationTables/results_20241105.053.csv
