;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;EIM000+1800;20240924.069;1.52;0.080000001;0.116999936;;0.0010585472742729602;results/calculationTables/results_20240924.069.csv
1;EIM000+1800;20240924.067;1.52;0.080000001;0.01852;;0.0005358337163474231;results/calculationTables/results_20240924.067.csv
2;EIM000+1800;20240924.073;1.52;0.13;0.09996;;0.0008414809257446431;results/calculationTables/results_20240924.073.csv
3;EIM000+1800;20240924.079;2.52;0.13;0.125838016;;0.0011861290123129828;results/calculationTables/results_20240924.079.csv
4;EIM000+1800;20240924.077;2.52;0.13;0.199000064;;0.0009932846234475884;results/calculationTables/results_20240924.077.csv
5;EIM000+1800;20240924.078;2.52;0.13;0.142000384;;0.0006751533312089575;results/calculationTables/results_20240924.078.csv
6;EIM000+1800;20240924.081;2.52;0.13;0.126877632;;0.0012631240042282818;results/calculationTables/results_20240924.081.csv
7;EIM000+1800;20240924.083;2.52;0.13;0.10048;;0.0003597693779852862;results/calculationTables/results_20240924.083.csv
8;EIM000+1800;20240924.049;0.531;0.04;0.198999808;;0.0055497487860468155;results/calculationTables/results_20240924.049.csv
9;EIM000+1800;20240924.052;0.531;0.04;0.153000448;;0.00496499668664931;results/calculationTables/results_20240924.052.csv
10;EIM000+1800;20240924.054;0.531;0.04;0.199000064;;0.005292639217938001;results/calculationTables/results_20240924.054.csv
11;EIM000+1800;20240924.056;0.531;0.04;0.199000064;;0.0030449347219650234;results/calculationTables/results_20240924.056.csv
12;EIM000+1800;20240924.061;0.531;0.04;0.102000128;;0.003916094534850885;results/calculationTables/results_20240924.061.csv
13;EIM000+1800;20240924.062;1.52;0.045000001;0.112999936;;0.001321868994677571;results/calculationTables/results_20240924.062.csv
14;EIM000+1800;20241008.019;1.912;2.1;0.249999872;;0.0007889009766396742;results/calculationTables/results_20241008.019.csv
15;EIM000+1800;20241008.016;1.912;2.1;0.249999872;;0.0009502710856498192;results/calculationTables/results_20241008.016.csv
16;EIM000+1800;20241008.023;1.912;2.100999999;0.121482432;;0.0007038226483217658;results/calculationTables/results_20241008.023.csv
17;EIM000+1800;20241008.027;1.712;2.1;0.249999872;;0.002288477254641951;results/calculationTables/results_20241008.027.csv
18;EIM000+1800;20241008.021;1.912;2.1;0.250000384;;0.0012833597131255805;results/calculationTables/results_20241008.021.csv
19;EIM000+1800;20241008.030;1.712;2.1;0.249999872;;0.00225817214166311;results/calculationTables/results_20241008.030.csv
20;EIM000+1800;20241008.031;;;;;;results/calculationTables/results_20241008.031.csv
21;EIM000+1800;20250515.062;1.112;7.001;0.250000128;0.0;0.009473733027405071;results/calculationTables/results_20250515.062.csv
22;EIM000+1800;20250515.061;6.62;6.501;6.497237952;491.45868260324164;0.00202470980268562;results/calculationTables/results_20250515.061.csv
23;EIM000+1800;20250515.063;2.412;7.001;2.216277568;-170.65480008847254;0.006560036853713352;results/calculationTables/results_20250515.063.csv
24;EIM000+1800;20240925.032;1.912;1.59;0.099000064;;0.0012625210212487965;results/calculationTables/results_20240925.032.csv
25;EIM000+1800;20240925.033;5.52;1.59;1.586437568;;0.004272007549265296;results/calculationTables/results_20240925.033.csv
26;EIM000+1800;20240925.031;5.52;0.955600001;1.5;;0.00505677837798015;results/calculationTables/results_20240925.031.csv
27;EIM000+1800;20240925.030;2.52;0.045000001;1.000000256;;0.005920486936817692;results/calculationTables/results_20240925.030.csv
28;EIM000+1800;20240925.027;2.52;0.045000001;0.500000512;;0.004962502608665447;results/calculationTables/results_20240925.027.csv
29;EIM000+1800;20240925.016;2.52;0.13;0.24899968;;0.0018958354807541494;results/calculationTables/results_20240925.016.csv
30;EIM000+1800;20240925.024;2.52;0.045000001;0.399999744;;0.004200602458651067;results/calculationTables/results_20240925.024.csv
31;EIM000+1800;20240925.017;2.52;0.045000001;0.248999936;;0.003110283502389492;results/calculationTables/results_20240925.017.csv
32;EIM000+1800;20240925.015;2.52;0.13;0.249000704;;0.001474758005955738;results/calculationTables/results_20240925.015.csv
33;EIM000+1800;20240925.042;5.52;1.800000001;1.755037504;;0.003707666586018093;results/calculationTables/results_20240925.042.csv
34;EIM000+1800;20240925.036;5.52;1.700000001;1.69639744;;0.003980517110921686;results/calculationTables/results_20240925.036.csv
35;EIM000+1800;20240925.003;2.52;0.080000001;0.05024;;0.000385962181903525;results/calculationTables/results_20240925.003.csv
