;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;EJM013+2620;20241112.061;12.412;12.000999999;12.39116;;0.001775245510318015;results/calculationTables/results_20241112.061.csv
1;EJM013+2620;20241112.063;15.52;15.001;14.99836;;0.0018186741023771475;results/calculationTables/results_20241112.063.csv
2;EJM013+2620;20241112.062;12.52;12.000999999;11.77484;;0.0017974436824502427;results/calculationTables/results_20241112.062.csv
3;EJM013+2620;20241112.065;15.52;15.001;14.9996;;0.0018094932332522536;results/calculationTables/results_20241112.065.csv
4;EJM013+2620;20241112.064;15.52;15.001;14.99824;;0.0018103485676238186;results/calculationTables/results_20241112.064.csv
5;EJM013+2620;20241010.021;0.612;22.001;0.14812;;0.0016385993628402415;results/calculationTables/results_20241010.021.csv
6;EJM013+2620;20241010.017;2.112;10.001;1.5994;;0.0017538765432545049;results/calculationTables/results_20241010.017.csv
7;EJM013+2620;20241010.016;0.612;10.001;0.04628;;0.0014438997912342986;results/calculationTables/results_20241010.016.csv
8;EJM013+2620;20241010.012;0.612;15.001;0.04628;;0.0014450315714214493;results/calculationTables/results_20241010.012.csv
9;EJM013+2620;20241010.013;0.612;15.001;0.04676;;0.0014318037375959706;results/calculationTables/results_20241010.013.csv
10;EJM013+2620;20241010.011;0.612;15.001;0.0456;;0.0014381000943095008;results/calculationTables/results_20241010.011.csv
11;EJM013+2620;20241010.015;8.22;8.101;8.00116;;0.0018027874777855994;results/calculationTables/results_20241010.015.csv
12;EJM013+2620;20241010.014;2.12;2.001;2.0022;;0.0018164005169898612;results/calculationTables/results_20241010.014.csv
13;EJM013+2620;20241010.019;7.812;10.001;7.17812;;0.0018120183828709841;results/calculationTables/results_20241010.019.csv
14;EJM013+2620;20241010.010;4.12;4.001;4.00104;;0.0018030568019995535;results/calculationTables/results_20241010.010.csv
15;EJM013+2620;20241010.020;15.12;15.001;15.00088;;0.0017786233599652304;results/calculationTables/results_20241010.020.csv
16;EJM013+2620;20241010.022;22.12;22.001;21.9986;;0.0017754374324415836;results/calculationTables/results_20241010.022.csv
