;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;FTM000-2620;20250312.105;4.512;11.000999999;4.38468;0.004307866282093556;0.0018106254817724034;results/calculationTables/results_20250312.105.csv
1;FTM000-2620;20250312.101;11.012;15.0010001;10.66612;0.6156353332348745;0.0018644115841902837;results/calculationTables/results_20250312.101.csv
2;FTM000-2620;20250312.103;13.012;15.0010001;12.89764;0.12644119343718574;0.0018271557857805186;results/calculationTables/results_20250312.103.csv
3;FTM000-2620;20250312.107;11.712;15.0010002;11.42268;0.06871873542556611;0.0017841017408633578;results/calculationTables/results_20250312.107.csv
4;FTM000-2620;20250312.114;15.12;15.0010002;14.99888;0.017056642006164274;0.001774126330041447;results/calculationTables/results_20250312.114.csv
5;FTM000-2620;20250312.110;0.512;11.000999999;0.235;0.5919140992317555;0.0017022113719507887;results/calculationTables/results_20250312.110.csv
6;FTM000-2620;20250312.111;0.512;11.000999999;0.24324;0.06243690573077097;0.001681797038581696;results/calculationTables/results_20250312.111.csv
7;FTM000-2620;20250312.112;11.12;11.000999999;11.00024;0.02575611191177247;0.0017748896862732227;results/calculationTables/results_20250312.112.csv
8;FTM000-2620;20250312.116;10.12;10.001;10.011522176;0.018145831568087124;0.0017697761243147072;results/calculationTables/results_20250312.116.csv
9;FTM000-2620;20250312.117;11.12;10.001;9.99968;0.025687516242797612;0.001807207610041328;results/calculationTables/results_20250312.117.csv
10;FTM000-2620;20250312.119;15.12;15.0010001;14.99896;-0.5759138900255867;0.0017737932087233807;results/calculationTables/results_20250312.119.csv
11;FTM000-2620;20250312.121;7.312;10.001;6.61900032;0.0;0.01205749621144775;results/calculationTables/results_20250312.121.csv
12;FTM000-2620;20250327.018;10.12;10.001;9.99796;0.025452177435287587;0.001775254582649662;results/calculationTables/results_20250327.018.csv
13;FTM000-2620;20250327.023;8.612;10.001;8.421242176;0.0486166325184513;0.0017649275671756015;results/calculationTables/results_20250327.023.csv
14;FTM000-2620;20250327.019;0.512;10.001;0.2212;0.005213613963867947;0.0016535869954546914;results/calculationTables/results_20250327.019.csv
15;FTM000-2620;20250327.020;0.512;10.001;0.22664;-0.6862075786186963;0.0017276227961671782;results/calculationTables/results_20250327.020.csv
16;FTM000-2620;20250327.017;10.12;10.001;9.9984;0.02560272131933607;0.0017742576311921819;results/calculationTables/results_20250327.017.csv
17;FTM000-2620;20250312.097;10.12;10.001;10.00144;0.013313106544849043;0.0017674689469736877;results/calculationTables/results_20250312.097.csv
18;FTM000-2620;20250312.099;10.412;11.000999999;10.27168;0.02754304032259359;0.0017687717611300706;results/calculationTables/results_20250312.099.csv
19;FTM000-2620;20250312.089;10.12;10.001;9.99936;0.021357931940480256;0.0017622044230648786;results/calculationTables/results_20250312.089.csv
20;FTM000-2620;20250312.093;10.12;10.001;9.99884;0.011273034486897699;0.0017681202939554552;results/calculationTables/results_20250312.093.csv
21;FTM000-2620;20250312.087;10.12;10.001;10.000802432;0.022882583561179067;0.0017636851181011973;results/calculationTables/results_20250312.087.csv
22;FTM000-2620;20250312.095;10.412;11.000999999;10.21912;0.02924784654658803;0.0017655585508819223;results/calculationTables/results_20250312.095.csv
23;FTM000-2620;20250312.091;10.412;11.000999999;10.2132;-0.017829433470286492;0.0017634609859814964;results/calculationTables/results_20250312.091.csv
24;FTM000-2620;20250312.085;10.12;10.001;10.00036;0.0390886770787642;0.0017675370060518335;results/calculationTables/results_20250312.085.csv
25;FTM000-2620;20250327.034;10.12;10.001;9.9992;-0.00281118201710871;0.001778098018517455;results/calculationTables/results_20250327.034.csv
26;FTM000-2620;20250327.041;16.72;16.601;16.59872;-0.04841873798475294;0.0017209092832819498;results/calculationTables/results_20250327.041.csv
27;FTM000-2620;20250327.040;16.72;16.601;16.5982;0.02023653252518297;0.0017714551958713351;results/calculationTables/results_20250327.040.csv
28;FTM000-2620;20250327.038;16.62;16.501;16.49812;0.0076166557425899565;0.0017773518126857817;results/calculationTables/results_20250327.038.csv
29;FTM000-2620;20250327.042;32.62;32.001;8.499802112;0.019259118608730284;0.0013748091171792481;results/calculationTables/results_20250327.042.csv
30;FTM000-2620;20250327.036;16.62;16.501;16.49888;0.01684173412654714;0.0017743692183904553;results/calculationTables/results_20250327.036.csv
31;FTM000-2620;20250312.073;10.612;15.001;10.4292;0.013464078246812144;0.001762013864646167;results/calculationTables/results_20250312.073.csv
32;FTM000-2620;20250312.075;6.112;15.001;5.98384;0.04827263186793136;0.0017707033474955952;results/calculationTables/results_20250312.075.csv
33;FTM000-2620;20250312.070;4.12;4.001;4.0006;0.02694673783374242;0.0017889147888487424;results/calculationTables/results_20250312.070.csv
34;FTM000-2620;20250312.072;10.12;10.001;9.99996;-0.7211270659310414;0.0017736260114395318;results/calculationTables/results_20250312.072.csv
35;FTM000-2620;20250312.083;10.12;10.001;10.001362112;-0.031056587475102843;0.0017748518461427796;results/calculationTables/results_20250312.083.csv
36;FTM000-2620;20250312.071;15.12;15.001;14.99888;0.01239592155465724;0.0017652739660385913;results/calculationTables/results_20250312.071.csv
37;FTM000-2620;20250312.077;10.12;10.001;9.99916;0.007267366045679783;0.0017782623445661706;results/calculationTables/results_20250312.077.csv
38;FTM000-2620;20250312.079;5.512;10.001;5.39612;0.019802651708410706;0.0017669119728362193;results/calculationTables/results_20250312.079.csv
39;FTM000-2620;20250312.081;10.12;10.001;10.0004;0.00811905025003023;0.0017681749844870927;results/calculationTables/results_20250312.081.csv
40;FTM000-2620;20250327.015;10.12;10.001;9.9974;0.014414021589039823;0.0017774682465260042;results/calculationTables/results_20250327.015.csv
41;FTM000-2620;20250327.011;9.512;10.001;9.36084;0.005536212046561368;0.0017720795676683862;results/calculationTables/results_20250327.011.csv
