;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;KLM001-2520;20250312.008;7.52;15.001;7.50872;0.004907496891867997;0.0017645839151416679;results/calculationTables/results_20250312.008.csv
1;KLM001-2520;20250312.007;5.412;15.001;4.72568;0.005404182815557164;0.001957646006519448;results/calculationTables/results_20250312.007.csv
2;KLM001-2520;20250312.009;6.412;15.001;5.68052;0.012037171549410546;0.0019363911185057813;results/calculationTables/results_20250312.009.csv
3;KLM001-2520;20250312.011;1.712;15.001;1.05416;-0.008160281725397213;0.0025102271961321477;results/calculationTables/results_20250312.011.csv
4;KLM001-2520;20250312.010;1.712;15.001;1.10828;0.016176968813564226;0.0024451250006090356;results/calculationTables/results_20250312.010.csv
5;KLM001-2520;20250312.012;7.52;15.001;7.5096;0.005711238857517296;0.0017630351305468243;results/calculationTables/results_20250312.012.csv
6;KLM001-2520;20250312.013;7.912;15.001;7.75016;0.1810446246661535;0.0017630310678711661;results/calculationTables/results_20250312.013.csv
7;KLM001-2520;20250312.014;0.512;15.001;0.04792;2.642019102860811;0.0014002635642942423;results/calculationTables/results_20250312.014.csv
8;KLM001-2520;20250312.017;8.52;7.001;6.99956;0.019997889775594285;0.0018910832087858432;results/calculationTables/results_20250312.017.csv
9;KLM001-2520;20250312.016;8.012;15.001;7.87768;0.013528440647495841;0.0017683105987575816;results/calculationTables/results_20250312.016.csv
10;KLM001-2520;20250312.018;8.52;7.001;6.99992;0.003792637036325885;0.0017239067551417903;results/calculationTables/results_20250312.018.csv
11;KLM001-2520;20250318.044;15.52;15.001;14.9996;0.002153200598972523;0.0018269226329399137;results/calculationTables/results_20250318.044.csv
12;KLM001-2520;20250318.048;12.12;12.000999999;12.00104;-0.00023171957029181033;0.0017641561591949801;results/calculationTables/results_20250318.048.csv
13;KLM001-2520;20250318.047;10.12;10.001;9.99844;0.0076802007351594445;0.0017691503501664181;results/calculationTables/results_20250318.047.csv
14;KLM001-2520;20250318.046;15.52;15.001;14.99956;0.006555941509871456;0.0018048559688862054;results/calculationTables/results_20250318.046.csv
