;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;KOF000+2520;20250513.057;2.212;16.0;2.0858;1553.7253626101508;0.001778739321599356;results/calculationTables/results_20250513.057.csv
1;KOF000+2520;20250513.063;3.52;3.001;3.00024;135.32743042436832;0.001987739999299831;results/calculationTables/results_20250513.063.csv
2;KOF000+2520;20250513.062;3.52;3.001;2.99912;-235.9288991816036;0.0020002830947921696;results/calculationTables/results_20250513.062.csv
3;KOF000+2520;20250513.066;10.12;10.001;9.9996;4.415980859953343;0.0017672096502373994;results/calculationTables/results_20250513.066.csv
4;KOF000+2520;20250513.070;10.12;10.001;9.99944;8.209675660423974;0.001774157698861378;results/calculationTables/results_20250513.070.csv
5;KOF000+2520;20250513.068;20.12;20.001;19.9996;9.907529642142894;0.001761893417558327;results/calculationTables/results_20250513.068.csv
6;KOF000+2520;20250513.069;6.12;6.0;5.99684;2.588370371181306;0.0017821416774899067;results/calculationTables/results_20250513.069.csv
7;KOF000+2520;20250513.067;6.12;6.0;5.99592;14.523076603780847;0.0017814614237565646;results/calculationTables/results_20250513.067.csv
8;KOF000+2520;20250513.061;6.12;6.0;5.99652;-201.24277290587688;0.0017794239521866585;results/calculationTables/results_20250513.061.csv
9;KOF000+2520;20250513.064;6.12;6.0;5.9968;393.8953118856337;0.0017846446360538424;results/calculationTables/results_20250513.064.csv
10;KOF000+2520;20250513.059;10.712;16.0;10.50488;-69.17860285157857;0.0017670228625774477;results/calculationTables/results_20250513.059.csv
11;KOF000+2520;20250513.056;16.01;16.0;15.99664;11.245152699231081;0.00175274467730431;results/calculationTables/results_20250513.056.csv
12;KOF000+2520;20250513.053;5.52;5.001;4.99924;27.09312219916729;0.001849616109971792;results/calculationTables/results_20250513.053.csv
13;KOF000+2520;20250513.052;5.52;5.001;4.99916;6.845102412009382;0.0018473475652515594;results/calculationTables/results_20250513.052.csv
14;KOF000+2520;20250513.050;6.12;6.001;5.99984;-10527.173145536937;0.001720704551432638;results/calculationTables/results_20250513.050.csv
15;KOF000+2520;20250513.048;6.12;6.001;5.99924;8.655153110326694;0.0017360338288453067;results/calculationTables/results_20250513.048.csv
16;KOF000+2520;20250513.054;15.12;15.001;14.99752;9.440008544169693;0.0017449685684868836;results/calculationTables/results_20250513.054.csv
17;KOF000+2520;20250513.051;6.12;6.001;5.99952;-3.8723872226084604;0.0017157668690034468;results/calculationTables/results_20250513.051.csv
18;KOF000+2520;20250513.078;10.12;10.001;10.00036;17.51526456837188;0.0017778560180539504;results/calculationTables/results_20250513.078.csv
19;KOF000+2520;20250513.072;10.12;10.001;9.9992;8.901785139125545;0.0017740369772653345;results/calculationTables/results_20250513.072.csv
20;KOF000+2520;20250513.075;20.12;20.001;19.99992;13.914876588261194;0.001772620196195994;results/calculationTables/results_20250513.075.csv
21;KOF000+2520;20250513.079;20.12;20.001;19.99924;11.726436106602243;0.0017775941672928544;results/calculationTables/results_20250513.079.csv
22;KOF000+2520;20250513.082;16.01;16.0;15.99684;13.221178125413443;;results/calculationTables/results_20250513.082.csv
23;KOF000+2520;20250513.081;16.01;16.0;15.99724;11.993822901920925;0.001787515156540143;results/calculationTables/results_20250513.081.csv
24;KOF000+2520;20250513.074;6.12;6.0;5.99664;65.36094723580501;0.0017848695101917308;results/calculationTables/results_20250513.074.csv
25;KOF000+2520;20250513.077;6.12;6.0;5.9976;-947.803282361218;0.0018116618032177321;results/calculationTables/results_20250513.077.csv
26;KOF000+2520;20250513.083;16.01;16.0;15.99712;18.35345884059103;;results/calculationTables/results_20250513.083.csv
