;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;FLM000+2520;20241127.056;1.207;1.501;0.732;;0.0025856945380996936;results/calculationTables/results_20241127.056.csv
1;FLM000+2520;20241127.058;1.366;1.501;0.93768;;0.0023591126061320625;results/calculationTables/results_20241127.058.csv
2;FLM000+2520;20241127.059;10.52;10.001;9.99716;;0.0018434519429615162;results/calculationTables/results_20241127.059.csv
3;FLM000+2520;20241127.060;10.52;10.001;9.99756;;0.0018437413919439158;results/calculationTables/results_20241127.060.csv
4;FLM000+2520;20241127.061;1.62;1.501;1.49888;;0.0018535562505809624;results/calculationTables/results_20241127.061.csv
5;FLM000+2520;20241127.063;8.12;8.001;7.9986;;0.0017866921444281449;results/calculationTables/results_20241127.063.csv
6;FLM000+2520;20241127.066;50.12;50.001;49.998;;0.001755304331313395;results/calculationTables/results_20241127.066.csv
7;FLM000+2520;20241127.065;50.52;50.001;49.9974;;0.0017744576018182765;results/calculationTables/results_20241127.065.csv
8;FLM000+2520;20241127.067;50.12;50.001;49.99796;;0.0017474573912030665;results/calculationTables/results_20241127.067.csv
9;FLM000+2520;20241127.071;50.52;50.001;49.99832;;0.0017689581737272767;results/calculationTables/results_20241127.071.csv
10;FLM000+2520;20241127.070;28.12;28.001;27.99744;;0.001766880954736137;results/calculationTables/results_20241127.070.csv
11;FLM000+2520;20241127.064;4.52;4.001;3.99876;;0.001947943115978766;results/calculationTables/results_20241127.064.csv
12;FLM000+2520;20241127.068;10.52;10.001;9.99852;;0.0018324829777183927;results/calculationTables/results_20241127.068.csv
13;FLM000+2520;20241127.062;4.476;4.001;3.99924;;0.0019343367185576535;results/calculationTables/results_20241127.062.csv
