;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;FMM002+2620;20241204.072;10.865;10.501;10.62912256;;0.002280724985673181;results/calculationTables/results_20241204.072.csv
1;FMM002+2620;20241126.041;1.241;3.001;0.69048;;0.0027471553477985723;results/calculationTables/results_20241126.041.csv
2;FMM002+2620;20241126.046;2.033;3.001;1.32684;;0.0024821118464924217;results/calculationTables/results_20241126.046.csv
3;FMM002+2620;20241126.048;3.464;7.001;2.78096;;0.002107782619705377;results/calculationTables/results_20241126.048.csv
4;FMM002+2620;20241126.045;1.888;3.001;1.25928;;0.0024390513042717387;results/calculationTables/results_20241126.045.csv
5;FMM002+2620;20241126.043;1.434;3.001;0.77192;;0.0028555921698916386;results/calculationTables/results_20241126.043.csv
6;FMM002+2620;20241126.047;3.52;3.001;2.99728;;0.0020060424277518933;results/calculationTables/results_20241126.047.csv
7;FMM002+2620;20241126.055;14.52;14.001;13.99912;;0.001820596607680385;results/calculationTables/results_20241126.055.csv
8;FMM002+2620;20241126.053;7.12;7.001;6.99968;;0.0017802379037947917;results/calculationTables/results_20241126.053.csv
9;FMM002+2620;20241126.052;0.312;7.001;0.14872;;0.00242645625745702;results/calculationTables/results_20241126.052.csv
10;FMM002+2620;20241126.054;6.52;6.001;5.99832;;0.0018908703736492077;results/calculationTables/results_20241126.054.csv
11;FMM002+2620;20241126.056;6.52;6.001;5.9974;;0.0018907128104831326;results/calculationTables/results_20241126.056.csv
12;FMM002+2620;20241126.062;3.816;9.001;3.32836;;0.0019623596312971117;results/calculationTables/results_20241126.062.csv
13;FMM002+2620;20241126.064;10.636;10.001;9.99832;;0.0022392899679258274;results/calculationTables/results_20241126.064.csv
14;FMM002+2620;20241126.058;6.52;6.001;5.99836;;0.001892774333164006;results/calculationTables/results_20241126.058.csv
15;FMM002+2620;20241126.057;11.733;15.001;11.63656;;0.0017790967583776126;results/calculationTables/results_20241126.057.csv
16;FMM002+2620;20241126.061;8.28;8.201;8.17744;;0.003784644445062781;results/calculationTables/results_20241126.061.csv
17;FMM002+2620;20241126.060;5.05;3.001;4.538402304;;0.0027322640606741925;results/calculationTables/results_20241126.060.csv
18;FMM002+2620;20241126.059;15.12;15.001;14.998;;0.0017803156316488192;results/calculationTables/results_20241126.059.csv
19;FMM002+2620;20241126.068;6.571;9.001;6.08564;;0.0018739239076616232;results/calculationTables/results_20241126.068.csv
20;FMM002+2620;20241126.065;10.568;10.001;9.9988;;0.002224363372943605;results/calculationTables/results_20241126.065.csv
21;FMM002+2620;20241126.070;3.629;10.501;2.99912;;0.0020659546490914577;results/calculationTables/results_20241126.070.csv
22;FMM002+2620;20241126.076;6.495;9.001;6.00332;;0.0018809400398572818;results/calculationTables/results_20241126.076.csv
23;FMM002+2620;20241126.072;3.647;10.501;2.9982;;0.0020663499494545;results/calculationTables/results_20241126.072.csv
24;FMM002+2620;20241126.073;11.185;10.501;10.49844;;0.0023417028708350605;results/calculationTables/results_20241126.073.csv
25;FMM002+2620;20241126.077;5.203;3.001;5.079802304;;0.002779943662865795;results/calculationTables/results_20241126.077.csv
26;FMM002+2620;20241126.071;0.312;3.001;0.04568;;0.0018317044049527011;results/calculationTables/results_20241126.071.csv
27;FMM002+2620;20241126.074;0.312;3.001;0.04632;;0.001876484168735422;results/calculationTables/results_20241126.074.csv
28;FMM002+2620;20241204.059;10.12;10.001;9.99836;;0.0017700545968400614;results/calculationTables/results_20241204.059.csv
29;FMM002+2620;20241204.061;15.12;15.001;14.99952;;0.0017788399192744516;results/calculationTables/results_20241204.061.csv
30;FMM002+2620;20241204.060;3.762;10.501;3.629242624;;0.0021299355076527136;results/calculationTables/results_20241204.060.csv
31;FMM002+2620;20241204.063;11.12;10.501;11.028602176;;0.002321476915508344;results/calculationTables/results_20241204.063.csv
32;FMM002+2620;20241204.062;15.12;15.001;14.99832;;0.0017772382775219397;results/calculationTables/results_20241204.062.csv
33;FMM002+2620;20241204.066;15.12;15.001;14.99808;;0.0017785462183047551;results/calculationTables/results_20241204.066.csv
34;FMM002+2620;20241204.065;10.12;10.001;9.9976;;0.001773751823772026;results/calculationTables/results_20241204.065.csv
35;FMM002+2620;20241204.067;3.703;10.501;3.60216256;;0.0020906000608991422;results/calculationTables/results_20241204.067.csv
36;FMM002+2620;20241204.070;10.12;10.001;9.99832;;0.0017708939557318326;results/calculationTables/results_20241204.070.csv
37;FMM002+2620;20241204.075;15.12;15.001;14.9976;;0.0017798844431904264;results/calculationTables/results_20241204.075.csv
38;FMM002+2620;20241204.074;15.12;15.001;14.99856;;0.0017774301222130892;results/calculationTables/results_20241204.074.csv
