;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;FNM001+2520;20241205.037;8.12;8.001;7.80676;;0.0018185080189845155;results/calculationTables/results_20241205.037.csv
1;FNM001+2520;20241205.036;8.12;8.001;8.00172;;0.001776141387738995;results/calculationTables/results_20241205.036.csv
2;FNM001+2520;20241205.034;14.12;14.001;13.99772;;0.0017650826736998757;results/calculationTables/results_20241205.034.csv
3;FNM001+2520;20241205.035;15.12;15.001;14.99852;;0.0017741080979382492;results/calculationTables/results_20241205.035.csv
4;FNM001+2520;20241205.042;13.61;25.001;13.59796;;0.0017541468479113542;results/calculationTables/results_20241205.042.csv
5;FNM001+2520;20241205.041;12.01;25.001;11.9972;;0.001761471738035277;results/calculationTables/results_20241205.041.csv
6;FNM001+2520;20241205.028;15.12;15.001;14.99744;;0.001782832768081985;results/calculationTables/results_20241205.028.csv
7;FNM001+2520;20241205.030;14.12;14.001;13.99756;;0.0017660346781143224;results/calculationTables/results_20241205.030.csv
8;FNM001+2520;20241205.029;15.12;15.001;14.99784;;0.0017782270939430264;results/calculationTables/results_20241205.029.csv
9;FNM001+2520;20241205.032;9.12;9.001;8.99884;;0.0017720324203916895;results/calculationTables/results_20241205.032.csv
10;FNM001+2520;20241205.031;15.12;15.001;14.99792;;0.0017749133296140521;results/calculationTables/results_20241205.031.csv
11;FNM001+2520;20241205.033;15.12;15.001;14.99856;;0.001774038022644569;results/calculationTables/results_20241205.033.csv
12;FNM001+2520;20241205.039;6.12;6.001;5.99812;;0.0017854924211426842;results/calculationTables/results_20241205.039.csv
13;FNM001+2520;20241205.038;15.12;15.001;14.9978;;0.0017825939938658527;results/calculationTables/results_20241205.038.csv
14;FNM001+2520;20241205.040;15.12;15.001;14.9982;;0.0017827703480745398;results/calculationTables/results_20241205.040.csv
15;FNM001+2520;20241205.044;25.045;25.001;24.44296;;0.0017965555926422654;results/calculationTables/results_20241205.044.csv
16;FNM001+2520;20241205.043;25.11;25.001;24.9982;;0.001751463718418261;results/calculationTables/results_20241205.043.csv
17;FNM001+2520;20241205.045;5.12;5.001;4.99868;;0.0017874627417262515;results/calculationTables/results_20241205.045.csv
18;FNM001+2520;20241205.047;5.12;5.001;5.05516;;0.0017901426335545393;results/calculationTables/results_20241205.047.csv
19;FNM001+2520;20241205.046;5.12;5.001;4.99912;;0.0017943998330905073;results/calculationTables/results_20241205.046.csv
20;FNM001+2520;20241205.048;5.12;5.001;4.99928;;0.0017937955652434635;results/calculationTables/results_20241205.048.csv
21;FNM001+2520;20241205.049;5.12;5.001;4.99896;;0.0017942837866195582;results/calculationTables/results_20241205.049.csv
22;FNM001+2520;20241205.052;5.12;5.001;4.99844;;0.001795815402114412;results/calculationTables/results_20241205.052.csv
23;FNM001+2520;20241205.050;5.12;5.001;4.99912;;0.0017885639375607584;results/calculationTables/results_20241205.050.csv
24;FNM001+2520;20241205.051;5.12;5.001;4.99924;;0.0017934823299473538;results/calculationTables/results_20241205.051.csv
