;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;DAM005+1800;20250408.029;5.12;0.051;4.99900032;0.0;0.011708022431326398;results/calculationTables/results_20250408.029.csv
1;DAM005+1800;20250408.014;6.12;6.001;5.998477888;-24.091841590131217;0.0014894593886051284;results/calculationTables/results_20250408.014.csv
2;DAM005+1800;20250408.027;6.12;6.001;5.998878016;6.599711396239202;0.001914201792364804;results/calculationTables/results_20250408.027.csv
3;DAM005+1800;20250408.025;6.12;6.001;6.00128;105.75041350937596;0.0017247882410202763;results/calculationTables/results_20250408.025.csv
4;DAM005+1800;20250408.021;1.812;6.501;1.619597504;2464.1746392449454;0.005407883858299019;results/calculationTables/results_20250408.021.csv
5;DAM005+1800;20250408.024;1.312;6.001;1.17187776;827.185524939589;0.005283141126977667;results/calculationTables/results_20250408.024.csv
6;DAM005+1800;20250408.015;6.12;6.001;5.998757952;-357.3821183294874;0.0017048615077793162;results/calculationTables/results_20250408.015.csv
7;DAM005+1800;20250408.013;2.412;6.001;2.219000064;201.9331674932215;0.0027665809143902764;results/calculationTables/results_20250408.013.csv
8;DAM005+1800;20250408.018;1.812;6.501;1.79659744;-1293.9934004013567;0.002497632221896513;results/calculationTables/results_20250408.018.csv
9;DAM005+1800;20250408.012;0.412;6.001;0.264000512;0.0;0.01065539465787383;results/calculationTables/results_20250408.012.csv
10;DAM005+1800;20250408.016;3.712;6.001;3.419000064;-4.391520798685441;0.0024747560604287118;results/calculationTables/results_20250408.016.csv
11;DAM005+1800;20250408.035;3.812;7.501;3.615797952;-315.12884264539036;0.00285596236199844;results/calculationTables/results_20250408.035.csv
12;DAM005+1800;20250408.032;6.62;6.501;6.497677888;47.3070758306929;0.0020844656181733053;results/calculationTables/results_20250408.032.csv
13;DAM005+1800;20250408.028;6.12;6.001;5.998077888;7.588531704135067;0.0019601912965371;results/calculationTables/results_20250408.028.csv
14;DAM005+1800;20250408.034;2.212;6.501;1.919000064;160.46561552402665;0.005653727540572826;results/calculationTables/results_20250408.034.csv
15;DAM005+1800;20250408.030;2.912;6.501;2.718999808;-300.39236358676806;0.003729770097750804;results/calculationTables/results_20250408.030.csv
