;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;DKJ000+2520;20250416.016;3.62;3.501;3.49824;7.7181287013090225;0.001795719131749086;results/calculationTables/results_20250416.016.csv
1;DKJ000+2520;20250416.015;3.62;3.501;3.4984;0.864839839827213;0.0018008049226664643;results/calculationTables/results_20250416.015.csv
2;DKJ000+2520;20250416.014;3.62;3.501;3.49844;-646.7581698550723;0.001790005421251021;results/calculationTables/results_20250416.014.csv
3;DKJ000+2520;20250416.013;3.62;3.501;3.49748;-11.09167178555694;0.0017917167431513881;results/calculationTables/results_20250416.013.csv
4;DKJ000+2520;20250416.057;19.62;19.5;19.49932;4.432085101526095;0.001760582692522159;results/calculationTables/results_20250416.057.csv
5;DKJ000+2520;20250416.055;30.12;30.001;30.00036;14.2149261351286;;results/calculationTables/results_20250416.055.csv
6;DKJ000+2520;20250416.060;10.12;10.001;9.99956;56.82595059939283;0.0017810321494473218;results/calculationTables/results_20250416.060.csv
7;DKJ000+2520;20250416.066;10.12;10.001;10.00012;8.138910483599837;0.001785857703704509;results/calculationTables/results_20250416.066.csv
8;DKJ000+2520;20250416.006;10.12;10.001;9.99908;8.239046908791142;0.001782346874161281;results/calculationTables/results_20250416.006.csv
9;DKJ000+2520;20250416.058;21.512;30.001;21.34672;38.245279948322924;0.0017742823140007428;results/calculationTables/results_20250416.058.csv
10;DKJ000+2520;20250416.020;10.12;10.001;10.00008;5.933673192378603;0.0017785845048480886;results/calculationTables/results_20250416.020.csv
11;DKJ000+2520;20250416.044;1.612;8.0;1.22552192;-4.5994085034029;0.002529754729939865;results/calculationTables/results_20250416.044.csv
12;DKJ000+2520;20250416.061;10.12;10.001;9.99916;2.540457716383041;0.0017845522525384394;results/calculationTables/results_20250416.061.csv
13;DKJ000+2520;20250416.068;19.62;19.5;19.49948;7.775961524870622;0.0009276287663834537;results/calculationTables/results_20250416.068.csv
14;DKJ000+2520;20250416.026;8.12;8.0;7.99848;4.402340171724327;0.0017731753217740448;results/calculationTables/results_20250416.026.csv
15;DKJ000+2520;20250416.054;30.12;30.001;30.00036;14.902830521252792;0.0017631865124608291;results/calculationTables/results_20250416.054.csv
16;DKJ000+2520;20250416.069;1.112;8.0;1.0682;-82.3859454041055;0.0024383922651506516;results/calculationTables/results_20250416.069.csv
17;DKJ000+2520;20250416.079;10.12;10.001;9.9986;-2.7693937933894723;0.0015139576674558584;results/calculationTables/results_20250416.079.csv
18;DKJ000+2520;20250416.007;15.12;15.001;15.00044;8.298576438769128;0.0017742926798029125;results/calculationTables/results_20250416.007.csv
19;DKJ000+2520;20250416.008;15.12;15.001;15.00044;14.50547749954282;0.0017756052119316595;results/calculationTables/results_20250416.008.csv
20;DKJ000+2520;20250416.009;8.01;15.001;7.99644;6.93690120480546;0.0017634605578078163;results/calculationTables/results_20250416.009.csv
21;DKJ000+2520;20250416.023;20.12;20.001;19.99944;8.895734530736037;0.0017722835033486702;results/calculationTables/results_20250416.023.csv
22;DKJ000+2520;20250416.024;20.12;20.001;19.9992;5.61503736119677;0.0017630371503935412;results/calculationTables/results_20250416.024.csv
23;DKJ000+2520;20250416.025;10.12;10.001;9.99972;-0.10743328828506747;0.0017781118677786328;results/calculationTables/results_20250416.025.csv
24;DKJ000+2520;20250416.018;4.12;4.001;3.99772;12.658744931922731;0.0017946200973023628;results/calculationTables/results_20250416.018.csv
25;DKJ000+2520;20250416.012;8.01;15.001;7.99784;0.19023543835098655;0.0017429802798081472;results/calculationTables/results_20250416.012.csv
26;DKJ000+2520;20250416.011;8.01;15.001;7.99796;5.432117718727931;0.0017560854258124967;results/calculationTables/results_20250416.011.csv
27;DKJ000+2520;20250416.017;3.62;3.501;3.49744;28.449238011348864;0.0017845517099377465;results/calculationTables/results_20250416.017.csv
28;DKJ000+2520;20250416.010;8.01;15.001;7.99768;4.041167746945;0.001763140061896666;results/calculationTables/results_20250416.010.csv
29;DKJ000+2520;20250416.019;10.12;10.001;9.99852;6.001312818945949;0.0017782529840339768;results/calculationTables/results_20250416.019.csv
30;DKJ000+2520;20250416.048;8.12;8.0;7.99836;12.62725299448858;0.0017679026350218903;results/calculationTables/results_20250416.048.csv
31;DKJ000+2520;20250416.039;10.12;10.001;9.99988;-10.080568902580362;0.0017790218109537976;results/calculationTables/results_20250416.039.csv
32;DKJ000+2520;20250416.045;8.12;8.0;7.99916;6.171862671434349;0.0017799268300743814;results/calculationTables/results_20250416.045.csv
33;DKJ000+2520;20250416.047;8.12;8.0;7.99932;3.880060396349829;0.0017733465046509563;results/calculationTables/results_20250416.047.csv
34;DKJ000+2520;20250416.042;30.12;30.0;29.99896;37.23139270737065;0.001772835890948237;results/calculationTables/results_20250416.042.csv
35;DKJ000+2520;20250416.043;30.12;30.0;29.99828;15.692204858373746;;results/calculationTables/results_20250416.043.csv
36;DKJ000+2520;20250416.050;30.12;30.0;29.99956;32.210601225037955;0.0017733410055836524;results/calculationTables/results_20250416.050.csv
37;DKJ000+2520;20250416.049;19.712;30.0;19.56168;19.538221127060098;0.0017679542013399278;results/calculationTables/results_20250416.049.csv
38;DKJ000+2520;20250416.041;30.12;30.0;29.99816;10.605277614846456;;results/calculationTables/results_20250416.041.csv
