;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;EIM000-2450;20250225.010;6.312;10.001;6.16812;0.024074224131962592;0.0003157929533706618;results/calculationTables/results_20250225.010.csv
1;EIM000-2450;20250225.009;10.12;10.001;9.99968;0.016604847684697353;0.00023877406459653876;results/calculationTables/results_20250225.009.csv
2;EIM000-2450;20250225.007;1.212;10.001;0.04752;0.0;0.0005548041524252208;results/calculationTables/results_20250225.007.csv
3;EIM000-2450;20250225.006;0.289;10.001;0.04796;0.0;0.0010914475813070638;results/calculationTables/results_20250225.006.csv
4;EIM000-2450;20250225.008;10.12;10.001;0.04812;0.0;0.00011101947367732303;results/calculationTables/results_20250225.008.csv
5;EIM000-2450;20250225.013;10.12;10.001;10.00036;0.011500871779216427;0.00013363807451029515;results/calculationTables/results_20250225.013.csv
6;EIM000-2450;20250225.012;6.135;10.001;6.01364;0.21730220173382736;0.00016997800039489515;results/calculationTables/results_20250225.012.csv
7;EIM000-2450;20250225.014;1.212;10.001;0.15028;0.04004346679543722;0.0011551808612703745;results/calculationTables/results_20250225.014.csv
8;EIM000-2450;20250225.011;1.712;10.001;1.39304;-0.11906231490305033;0.00026636095971214725;results/calculationTables/results_20250225.011.csv
9;EIM000-2450;20250225.015;4.674;10.001;4.54964;0.10891173625736442;0.00020198359394741166;results/calculationTables/results_20250225.015.csv
10;EIM000-2450;20250225.018;10.12;10.001;10.02112224;-0.019402098925447416;9.115560738353427e-05;results/calculationTables/results_20250225.018.csv
11;EIM000-2450;20250225.017;10.12;10.001;9.99996;0.09149127494727946;0.0001818827540117252;results/calculationTables/results_20250225.017.csv
12;EIM000-2450;20250225.016;1.212;10.001;0.15028;-0.5322545070738459;0.0013072518937986212;results/calculationTables/results_20250225.016.csv
13;EIM000-2450;20250225.022;0.312;10.001;0.14948;0.11169466467672629;0.0006878669239629385;results/calculationTables/results_20250225.022.csv
14;EIM000-2450;20250225.025;10.12;10.001;9.99876;0.008410338531422814;0.00011841076741491333;results/calculationTables/results_20250225.025.csv
15;EIM000-2450;20250225.024;0.312;10.001;0.0482;0.0;0.001888782893574009;results/calculationTables/results_20250225.024.csv
16;EIM000-2450;20250225.023;0.312;10.001;0.04784;0.0;0.0019531503926008584;results/calculationTables/results_20250225.023.csv
