;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;KJM008-2520;20250219.058;7.62;7.501;7.49692;0.0030998216042793904;0.0017829170392728933;results/calculationTables/results_20250219.058.csv
1;KJM008-2520;20250219.065;7.62;7.501;7.49748;0.018866086962833723;;results/calculationTables/results_20250219.065.csv
2;KJM008-2520;20250219.063;7.62;7.501;7.49748;0.014282259319914123;;results/calculationTables/results_20250219.063.csv
3;KJM008-2520;20250219.064;7.62;7.501;7.49684;-0.0037362488751399373;0.0017775690884620924;results/calculationTables/results_20250219.064.csv
4;KJM008-2520;20250219.057;7.62;7.501;7.49764;-0.0017150797974835948;0.0017809011423360972;results/calculationTables/results_20250219.057.csv
5;KJM008-2520;20250219.059;7.62;7.501;7.49736;0.01391238911366868;;results/calculationTables/results_20250219.059.csv
6;KJM008-2520;20250219.060;7.62;7.501;7.4978;0.008983438465896103;;results/calculationTables/results_20250219.060.csv
7;KJM008-2520;20250219.061;7.62;7.501;7.49764;0.008967903101387271;;results/calculationTables/results_20250219.061.csv
8;KJM008-2520;20250219.062;7.62;7.501;7.49692;0.022667249953702975;0.0017779531972810722;results/calculationTables/results_20250219.062.csv
9;KJM008-2520;20250219.074;15.61;15.001;14.99848;-1.3774232406026434;0.0018262077580951423;results/calculationTables/results_20250219.074.csv
10;KJM008-2520;20250219.073;5.12;5.001;4.9994;61.54217736765569;0.001787600378333739;results/calculationTables/results_20250219.073.csv
11;KJM008-2520;20250219.072;5.12;5.001;4.99788;-104.69536714712133;0.0017876860086307508;results/calculationTables/results_20250219.072.csv
12;KJM008-2520;20250219.071;5.12;5.001;4.99912;-8.487261067230444;0.0017937765394105737;results/calculationTables/results_20250219.071.csv
13;KJM008-2520;20250219.070;5.12;5.001;4.9988;0.0;0.0017300011373486946;results/calculationTables/results_20250219.070.csv
14;KJM008-2520;20250219.069;7.62;7.501;7.4974;0.03325210342742279;0.0017788723836188404;results/calculationTables/results_20250219.069.csv
15;KJM008-2520;20250219.068;7.62;7.501;7.49736;0.013422659674346174;0.0017778656415124647;results/calculationTables/results_20250219.068.csv
16;KJM008-2520;20250219.067;7.62;7.501;7.49756;-0.013144280575471496;;results/calculationTables/results_20250219.067.csv
17;KJM008-2520;20250219.066;7.62;7.501;7.49776;0.006343349445087209;;results/calculationTables/results_20250219.066.csv
18;KJM008-2520;20250219.077;15.12;15.001;14.99944;-2376.7961783289;0.0017761025802026007;results/calculationTables/results_20250219.077.csv
19;KJM008-2520;20250219.076;6.52;10.001;6.50908;3.172656799037904;0.0017691396721902107;results/calculationTables/results_20250219.076.csv
20;KJM008-2520;20250219.075;0.312;10.001;0.14944;8155.623748568346;0.0014989219652342906;results/calculationTables/results_20250219.075.csv
21;KJM008-2520;20250219.079;7.212;15.001;7.08144;6677.874496008488;0.0017757612217645395;results/calculationTables/results_20250219.079.csv
22;KJM008-2520;20250219.080;15.12;15.001;14.99756;-1437712.4353086618;;results/calculationTables/results_20250219.080.csv
23;KJM008-2520;20250219.082;15.12;15.001;14.99692;1727.535210326344;0.001777545075442867;results/calculationTables/results_20250219.082.csv
24;KJM008-2520;20250219.078;9.412;15.001;9.21092;-4018.545735288257;0.0017769329241884304;results/calculationTables/results_20250219.078.csv
25;KJM008-2520;20250219.081;11.112;15.001;10.9408;-4080.471492731263;0.001771313086509101;results/calculationTables/results_20250219.081.csv
26;KJM008-2520;20250305.072;1.212;15.0;0.79836;-0.10258352673794127;0.0017914721081106265;results/calculationTables/results_20250305.072.csv
27;KJM008-2520;20250305.083;5.62;5.501;5.49912;0.0034758819769686996;0.0015266400472634266;results/calculationTables/results_20250305.083.csv
28;KJM008-2520;20250305.084;5.62;5.501;5.49968;0.01787739427941718;0.0015922088602699776;results/calculationTables/results_20250305.084.csv
29;KJM008-2520;20250312.028;4.912;6.001;4.7628;-0.05044845444762102;0.0017530835683656268;results/calculationTables/results_20250312.028.csv
30;KJM008-2520;20250312.037;9.612;15.001;9.4512;-0.021649528370413715;0.0016660051745807317;results/calculationTables/results_20250312.037.csv
31;KJM008-2520;20250312.042;15.52;15.001;14.99904;0.004214860258351424;0.0009698381922874798;results/calculationTables/results_20250312.042.csv
32;KJM008-2520;20250312.046;1.412;14.001;1.25664;-0.0717710595432915;0.001728379141119008;results/calculationTables/results_20250312.046.csv
33;KJM008-2520;20250312.019;15.52;15.001;14.9988;0.005712160366633717;;results/calculationTables/results_20250312.019.csv
34;KJM008-2520;20250312.020;15.52;15.001;15.00004;0.00823289962232222;0.0017846275342689676;results/calculationTables/results_20250312.020.csv
35;KJM008-2520;20250312.021;0.812;15.001;0.29892;-0.20984675823397925;0.003421671332190281;results/calculationTables/results_20250312.021.csv
36;KJM008-2520;20250312.027;8.212;15.001;7.53672;0.006022700865534176;0.0018609242822046985;results/calculationTables/results_20250312.027.csv
37;KJM008-2520;20250326.102;5.212;12.000999999;5.0992;0.05552446329427568;0.0017747832862523127;results/calculationTables/results_20250326.102.csv
38;KJM008-2520;20250326.081;11.12;11.000999999;10.99872;0.08084970680740494;0.001774883713543297;results/calculationTables/results_20250326.081.csv
39;KJM008-2520;20250326.090;21.12;21.001;20.99688;0.016693872093813802;0.001772769053347597;results/calculationTables/results_20250326.090.csv
40;KJM008-2520;20250326.080;11.12;11.000999999;11.0006;0.05611460012746337;0.0017724800019988745;results/calculationTables/results_20250326.080.csv
41;KJM008-2520;20250326.082;8.212;21.001;8.03592;0.13174501898340465;0.0017773078478331603;results/calculationTables/results_20250326.082.csv
42;KJM008-2520;20250326.092;21.12;21.001;20.9978;0.054993520150952116;0.0017730337475563593;results/calculationTables/results_20250326.092.csv
43;KJM008-2520;20250326.079;11.12;11.000999999;10.99892;0.013734458843327198;0.0017742875460193487;results/calculationTables/results_20250326.079.csv
44;KJM008-2520;20250326.094;21.12;21.001;20.99848;0.06767006125429403;0.001777194440626733;results/calculationTables/results_20250326.094.csv
45;KJM008-2520;20250326.087;21.12;21.001;20.99704;0.020857909101326417;0.00177063029748379;results/calculationTables/results_20250326.087.csv
46;KJM008-2520;20250326.088;21.12;21.001;20.99856;0.00991093744439543;0.0017645947641843946;results/calculationTables/results_20250326.088.csv
47;KJM008-2520;20250326.099;21.12;21.001;20.99748;0.04296310809632302;0.0017715935610971587;results/calculationTables/results_20250326.099.csv
48;KJM008-2520;20250326.098;21.12;21.001;20.99856;-0.04289908742986449;0.0017798770592846196;results/calculationTables/results_20250326.098.csv
49;KJM008-2520;20250326.086;18.012;21.001;17.88788;0.0134639066588244;0.001779519197988195;results/calculationTables/results_20250326.086.csv
50;KJM008-2520;20250326.084;8.312;21.001;8.15836;0.29370568570051075;0.0017627498516108757;results/calculationTables/results_20250326.084.csv
51;KJM008-2520;20250326.103;10.12;10.001;9.9988;0.06808797040833516;0.0017801118199161764;results/calculationTables/results_20250326.103.csv
52;KJM008-2520;20250326.104;5.212;10.001;5.06472;-0.9291778463637947;0.001762953531427601;results/calculationTables/results_20250326.104.csv
53;KJM008-2520;20250326.105;5.312;12.000999999;5.14172192;0.02648696244018677;0.0017898577921777981;results/calculationTables/results_20250326.105.csv
54;KJM008-2520;20250326.107;10.12;10.001;9.9992;0.006730935619545369;0.0017796746103223154;results/calculationTables/results_20250326.107.csv
55;KJM008-2520;20250326.101;8.12;8.001;7.9994;0.008359823979833465;0.0017860120685797417;results/calculationTables/results_20250326.101.csv
56;KJM008-2520;20250326.100;4.12;4.001;4.00032;-0.0014313971492551708;0.001796291470456787;results/calculationTables/results_20250326.100.csv
57;KJM008-2520;20250326.076;5.12;5.001;5.00024;-0.08854508828663891;0.0017904177160634797;results/calculationTables/results_20250326.076.csv
58;KJM008-2520;20250326.078;11.12;11.000999999;10.999;-0.00870553698241475;0.001783654861270688;results/calculationTables/results_20250326.078.csv
59;KJM008-2520;20250326.077;15.12;15.001;15.00028;-0.004373278814400882;0.0017787218832875725;results/calculationTables/results_20250326.077.csv
60;KJM008-2520;20250312.050;11.12;11.000999999;11.00048;-0.31661850361991456;0.002255713286251169;results/calculationTables/results_20250312.050.csv
61;KJM008-2520;20250312.044;6.52;6.001;5.999;0.002115943481102281;0.0018425567681759295;results/calculationTables/results_20250312.044.csv
62;KJM008-2520;20250312.049;6.12;6.001;6.00036;0.3653153584242013;0.00175522108350276;results/calculationTables/results_20250312.049.csv
63;KJM008-2520;20250312.051;6.12;6.001;6.0;0.017106519521941102;0.001782593784027499;results/calculationTables/results_20250312.051.csv
64;KJM008-2520;20250312.043;8.12;8.001;7.99796;0.02003088856256643;0.0017382906453032427;results/calculationTables/results_20250312.043.csv
65;KJM008-2520;20250305.074;15.12;15.0;14.99836;0.4077616138581574;0.0016040614369683484;results/calculationTables/results_20250305.074.csv
66;KJM008-2520;20250305.075;15.12;15.0;14.99864;0.00895653413623295;0.0016046544415196286;results/calculationTables/results_20250305.075.csv
67;KJM008-2520;20250305.077;8.12;8.0;7.99792;0.006794408688618267;0.0015688445673567384;results/calculationTables/results_20250305.077.csv
