;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;KNM000-2525;20250318.006;3.212;10.001;3.02976;0.04322543053250206;0.0017981125177842607;results/calculationTables/results_20250318.006.csv
1;KNM000-2525;20250318.005;0.512;10.001;0.04788;-2.1911915374850195;0.0011786045580401876;results/calculationTables/results_20250318.005.csv
2;KNM000-2525;20250318.019;12.12;12.000999999;11.99848;-0.004708195822706261;0.0017648749811061768;results/calculationTables/results_20250318.019.csv
3;KNM000-2525;20250318.032;15.12;15.001;14.99996;0.006951286393152763;0.001761065552114229;results/calculationTables/results_20250318.032.csv
4;KNM000-2525;20250318.031;15.12;15.001;15.00036;0.007863175020521043;0.0017645114323710637;results/calculationTables/results_20250318.031.csv
5;KNM000-2525;20250318.008;10.12;10.001;10.00012;0.010066071844303952;0.0017784131775909228;results/calculationTables/results_20250318.008.csv
6;KNM000-2525;20250318.015;10.12;10.001;9.99704;0.007284205306022028;0.001772180450170414;results/calculationTables/results_20250318.015.csv
7;KNM000-2525;20250318.016;10.12;10.001;9.99828;0.00958394355354265;0.0017753247060967826;results/calculationTables/results_20250318.016.csv
8;KNM000-2525;20250318.014;10.12;10.001;9.99556;0.006908759988608197;0.001798399650723566;results/calculationTables/results_20250318.014.csv
9;KNM000-2525;20250318.013;10.12;10.001;9.99744;0.0018976600518036233;0.0017756958650311735;results/calculationTables/results_20250318.013.csv
10;KNM000-2525;20250318.020;20.12;20.001;20.0002;0.01003346933457206;0.001764017429494842;results/calculationTables/results_20250318.020.csv
11;KNM000-2525;20250318.017;15.12;15.001;14.9996;0.011534730621691107;0.0017742972964104344;results/calculationTables/results_20250318.017.csv
12;KNM000-2525;20250318.027;10.12;10.001;9.99748;0.005388425212457357;0.0017716378022141963;results/calculationTables/results_20250318.027.csv
13;KNM000-2525;20250318.022;10.12;10.001;9.99892;0.005363361396547846;0.001765570515881687;results/calculationTables/results_20250318.022.csv
14;KNM000-2525;20250318.024;12.12;12.000999999;11.99864;0.0019421880057167698;0.0017755205167036404;results/calculationTables/results_20250318.024.csv
15;KNM000-2525;20250318.029;12.12;12.000999999;11.99876;-0.002191896196411501;0.0017819885119362915;results/calculationTables/results_20250318.029.csv
16;KNM000-2525;20250318.025;12.12;12.000999999;11.9974;0.010068515230273196;0.0017646197109411651;results/calculationTables/results_20250318.025.csv
17;KNM000-2525;20250318.021;20.12;20.001;19.99908;0.004606747889212141;0.0017631589124793199;results/calculationTables/results_20250318.021.csv
18;KNM000-2525;20250318.033;6.12;6.001;5.99704;0.0023355557752779425;0.0017786938069298951;results/calculationTables/results_20250318.033.csv
19;KNM000-2525;20250318.041;12.12;12.000999999;11.99704;0.006194380503786444;0.0017674124662001647;results/calculationTables/results_20250318.041.csv
20;KNM000-2525;20250318.039;15.12;15.001;14.99744;-0.004558583910180944;0.0017661251921749456;results/calculationTables/results_20250318.039.csv
