;configuration;dischargeID;duration;duration_planned;durationHeating;frad;HHeRatio;overviewTable
0;MMG000+2520;20250415.051;0.912;7.501;0.29732;-0.27817801906372697;0.003677013107977899;results/calculationTables/results_20250415.051.csv
1;MMG000+2520;20250415.073;3.212;9.001;3.04464;-1878.6318001162338;0.0017803736225300933;results/calculationTables/results_20250415.073.csv
2;MMG000+2520;20250415.074;3.512;9.001;3.14724;16.43412753355103;0.0019051201426911058;results/calculationTables/results_20250415.074.csv
3;MMG000+2520;20250415.055;8.02;7.501;7.49752;10.834387834925096;0.0018138464881694385;results/calculationTables/results_20250415.055.csv
4;MMG000+2520;20250415.054;8.02;7.501;7.49696;-8.841171599707106;0.0018113039347983227;results/calculationTables/results_20250415.054.csv
5;MMG000+2520;20250415.053;8.02;7.501;7.49724;-13.260647394080662;0.0018138369110038339;results/calculationTables/results_20250415.053.csv
6;MMG000+2520;20250415.076;10.52;8.801;8.79936;4.900005960824888;0.0017301038858526894;results/calculationTables/results_20250415.076.csv
7;MMG000+2520;20250415.056;5.912;9.501;5.78484;-9.156528792523257;0.0017638657330832053;results/calculationTables/results_20250415.056.csv
8;MMG000+2520;20250415.052;8.02;7.501;7.49756;7.173944145389258;0.001831359219970711;results/calculationTables/results_20250415.052.csv
9;MMG000+2520;20250415.058;10.52;10.001;9.9978;5.137153185368543;0.0018184656569317486;results/calculationTables/results_20250415.058.csv
10;MMG000+2520;20250415.059;10.52;10.001;9.99748;47.68456003759748;0.0018133539728319454;results/calculationTables/results_20250415.059.csv
11;MMG000+2520;20250415.075;3.912;9.001;3.70864;-8088.587538007495;0.0017842576451047444;results/calculationTables/results_20250415.075.csv
12;MMG000+2520;20250415.068;20.52;20.001;19.99888;10.630869476334142;0.0017630582875937952;results/calculationTables/results_20250415.068.csv
13;MMG000+2520;20250415.071;8.32;8.301;8.30064;6.170506481133129;0.0017472121191624995;results/calculationTables/results_20250415.071.csv
14;MMG000+2520;20250415.063;8.32;8.301;8.30024;9.813590400314991;0.001744306690372645;results/calculationTables/results_20250415.063.csv
15;MMG000+2520;20250415.060;3.32;3.301;3.29992;4.4165915909996825;0.0017607869696508868;results/calculationTables/results_20250415.060.csv
16;MMG000+2520;20250415.072;4.52;3.001;3.498561792;7.902876742829838;0.0022272743265882144;results/calculationTables/results_20250415.072.csv
17;MMG000+2520;20250415.062;10.52;10.001;9.99816;11.526952971551479;;results/calculationTables/results_20250415.062.csv
18;MMG000+2520;20250415.064;10.52;10.001;9.9986;6.878579445246558;0.001829922675483696;results/calculationTables/results_20250415.064.csv
