;dischargeID;maxNumberOfFailureIndicators
285;20250429.039;3
282;20250429.008;3
187;20250402.026;3
186;20250402.024;3
185;20250402.023;3
184;20250402.021;3
183;20250402.020;3
182;20250402.019;3
181;20250402.018;3
180;20250402.016;3
179;20250402.015;3
178;20250402.014;3
177;20250402.013;3
176;20250401.086;3
175;20250401.084;3
174;20250401.083;3
173;20250401.081;3
172;20250401.080;3
170;20250401.077;3
169;20250401.076;3
168;20250401.075;3
167;20250401.074;3
166;20250401.072;3
165;20250401.070;3
164;20250401.069;3
163;20250401.065;3
162;20250401.063;3
161;20250401.061;3
160;20250401.060;3
158;20250401.058;3
157;20250401.057;3
154;20250401.053;3
152;20250401.050;3
151;20250401.049;3
150;20250401.045;3
144;20241120.029;3
116;20241106.058;3
115;20241106.057;3
114;20241106.056;3
113;20241106.055;3
112;20241106.054;3
111;20241106.053;3
110;20241106.052;3
109;20241106.051;3
108;20241106.050;3
107;20241106.049;3
106;20241106.048;3
105;20241106.046;3
104;20241106.045;3
103;20241106.044;3
102;20241106.043;3
101;20241106.042;3
56;20241017.050;3
45;20241016.078;3
43;20241016.074;3
42;20241016.071;3
40;20241016.063;3
9;20241001.060;3
287;20250429.056;2
286;20250429.040;2
284;20250429.038;2
283;20250429.035;2
275;20250409.056;2
264;20250409.041;2
263;20250409.040;2
262;20250409.039;2
257;20250409.032;2
256;20250409.031;2
255;20250409.030;2
250;20250409.025;2
249;20250409.024;2
248;20250409.023;2
188;20250402.027;2
171;20250401.079;2
159;20250401.059;2
156;20250401.055;2
153;20250401.052;2
149;20241120.055;2
148;20241120.052;2
143;20241120.028;2
142;20241120.026;2
141;20241120.022;2
140;20241120.021;2
138;20241120.019;2
137;20241120.016;2
134;20241113.072;2
133;20241113.071;2
132;20241113.070;2
130;20241113.068;2
129;20241113.067;2
127;20241113.064;2
125;20241113.062;2
100;20241022.063;2
99;20241022.062;2
96;20241022.059;2
95;20241022.058;2
94;20241022.057;2
93;20241022.056;2
91;20241022.054;2
88;20241022.051;2
72;20241022.026;2
71;20241022.025;2
69;20241022.023;2
66;20241022.020;2
63;20241022.016;2
60;20241022.009;2
59;20241022.008;2
57;20241017.053;2
54;20241017.047;2
52;20241017.010;2
48;20241017.005;2
37;20241016.055;2
35;20241016.053;2
30;20241009.064;2
24;20241009.056;2
23;20241009.055;2
17;20241009.026;2
