;dischargeID;maxNumberOfFailureIndicators
607;20250408.045;3
606;20250408.044;3
605;20250408.043;3
555;20250401.016;3
554;20250401.015;3
553;20250401.014;3
551;20250401.012;3
545;20241212.061;3
544;20241212.060;3
543;20241212.059;3
542;20241212.058;3
537;20241212.053;3
536;20241212.050;3
533;20241212.047;3
529;20241212.042;3
528;20241212.040;3
527;20241212.039;3
526;20241212.038;3
525;20241212.037;3
524;20241212.036;3
523;20241212.035;3
522;20241212.034;3
521;20241212.033;3
520;20241212.032;3
519;20241212.031;3
518;20241212.027;3
517;20241212.026;3
516;20241212.023;3
515;20241212.022;3
514;20241212.021;3
513;20241212.020;3
512;20241212.019;3
511;20241212.018;3
510;20241212.017;3
509;20241212.016;3
508;20241212.015;3
507;20241212.012;3
506;20241212.011;3
505;20241212.010;3
504;20241212.009;3
502;20241210.107;3
494;20241210.095;3
492;20241210.091;3
491;20241210.089;3
490;20241210.087;3
488;20241210.083;3
487;20241210.081;3
486;20241210.079;3
485;20241210.078;3
484;20241210.077;3
483;20241210.075;3
481;20241210.072;3
480;20241210.071;3
479;20241210.070;3
477;20241210.068;3
475;20241210.066;3
472;20241210.063;3
470;20241210.061;3
469;20241210.060;3
465;20241210.056;3
464;20241210.055;3
449;20241210.024;3
448;20241210.023;3
445;20241210.016;3
443;20241210.013;3
442;20241210.012;3
436;20241203.058;3
435;20241203.057;3
434;20241203.055;3
433;20241203.054;3
432;20241203.053;3
430;20241203.045;3
426;20241203.038;3
425;20241203.036;3
424;20241203.035;3
423;20241203.034;3
421;20241203.032;3
419;20241203.030;3
418;20241203.029;3
417;20241203.028;3
416;20241203.027;3
401;20241128.095;3
400;20241128.094;3
398;20241128.092;3
393;20241128.087;3
391;20241128.085;3
390;20241128.082;3
381;20241128.071;3
380;20241128.070;3
379;20241128.069;3
378;20241128.068;3
377;20241128.067;3
376;20241128.066;3
375;20241128.065;3
374;20241128.064;3
373;20241128.063;3
372;20241128.062;3
371;20241128.061;3
370;20241128.060;3
369;20241128.059;3
368;20241128.058;3
367;20241128.057;3
366;20241128.056;3
365;20241128.055;3
364;20241128.054;3
363;20241128.049;3
362;20241128.048;3
361;20241128.044;3
360;20241128.040;3
358;20241128.036;3
357;20241128.033;3
356;20241128.029;3
355;20241128.024;3
346;20241127.051;3
345;20241127.050;3
344;20241127.048;3
343;20241127.047;3
342;20241127.046;3
341;20241127.045;3
339;20241127.043;3
338;20241127.042;3
337;20241127.041;3
336;20241127.040;3
335;20241127.039;3
334;20241127.038;3
333;20241127.036;3
332;20241127.035;3
331;20241127.034;3
330;20241127.033;3
327;20241127.030;3
326;20241127.029;3
325;20241127.028;3
324;20241127.027;3
323;20241127.026;3
317;20241127.019;3
316;20241127.018;3
304;20241126.020;3
299;20241126.015;3
298;20241126.012;3
297;20241126.011;3
296;20241126.010;3
295;20241126.009;3
294;20241126.008;3
293;20241126.007;3
292;20241126.006;3
290;20241121.082;3
289;20241121.081;3
288;20241121.080;3
287;20241121.079;3
286;20241121.078;3
284;20241121.076;3
281;20241121.073;3
277;20241121.067;3
274;20241121.049;3
273;20241121.048;3
272;20241121.047;3
271;20241121.046;3
270;20241121.045;3
269;20241121.044;3
268;20241121.016;3
267;20241121.015;3
266;20241121.014;3
265;20241121.013;3
260;20241119.058;3
258;20241119.053;3
252;20241119.039;3
249;20241119.035;3
246;20241119.028;3
244;20241119.021;3
243;20241119.020;3
241;20241119.014;3
239;20241106.028;3
238;20241106.027;3
237;20241106.026;3
236;20241106.025;3
235;20241106.024;3
234;20241106.023;3
233;20241106.022;3
232;20241106.021;3
231;20241106.020;3
230;20241106.019;3
229;20241106.018;3
228;20241106.017;3
227;20241106.016;3
226;20241106.015;3
225;20241106.013;3
224;20241105.068;3
223;20241105.067;3
222;20241105.066;3
221;20241105.065;3
220;20241105.064;3
219;20241105.063;3
218;20241105.062;3
217;20241105.061;3
216;20241105.060;3
215;20241105.058;3
214;20241105.057;3
213;20241105.055;3
212;20241105.043;3
211;20241105.041;3
210;20241105.040;3
209;20241105.039;3
208;20241105.038;3
207;20241105.037;3
206;20241105.036;3
205;20241105.035;3
204;20241105.034;3
203;20241105.033;3
202;20241105.032;3
201;20241105.031;3
200;20241105.030;3
199;20241105.029;3
198;20241105.028;3
197;20241105.027;3
196;20241105.026;3
195;20241105.024;3
194;20241105.023;3
192;20241105.021;3
191;20241105.020;3
189;20241105.018;3
188;20241105.017;3
183;20241105.011;3
179;20241024.078;3
177;20241024.076;3
175;20241024.074;3
174;20241024.073;3
172;20241024.071;3
171;20241024.070;3
170;20241024.069;3
169;20241024.068;3
168;20241024.067;3
167;20241024.066;3
163;20241024.062;3
161;20241024.060;3
160;20241024.058;3
159;20241024.057;3
158;20241024.056;3
156;20241024.054;3
147;20241024.039;3
146;20241024.038;3
145;20241024.037;3
144;20241024.036;3
142;20241024.034;3
141;20241024.033;3
140;20241024.032;3
139;20241024.029;3
135;20241024.024;3
133;20241024.022;3
132;20241024.021;3
131;20241024.020;3
130;20241024.019;3
129;20241024.018;3
128;20241024.017;3
127;20241024.015;3
122;20241023.086;3
121;20241023.085;3
120;20241023.084;3
116;20241023.077;3
115;20241023.076;3
113;20241023.073;3
111;20241023.070;3
110;20241023.068;3
109;20241023.067;3
108;20241023.066;3
107;20241023.065;3
106;20241023.064;3
104;20241023.062;3
103;20241023.061;3
102;20241023.060;3
100;20241023.058;3
94;20241023.045;3
93;20241023.044;3
92;20241023.043;3
91;20241023.042;3
90;20241023.040;3
89;20241023.038;3
88;20241023.036;3
87;20241023.035;3
86;20241023.034;3
85;20241023.032;3
84;20241023.031;3
83;20241023.030;3
81;20241023.027;3
79;20241023.024;3
78;20241023.022;3
69;20241015.073;3
68;20241015.071;3
67;20241015.070;3
56;20241010.042;3
55;20241010.041;3
54;20241010.040;3
53;20241010.039;3
52;20241010.038;3
51;20241010.037;3
50;20241010.036;3
47;20241010.033;3
41;20241008.052;3
39;20241008.050;3
26;20240926.037;3
23;20240926.034;3
22;20240926.031;3
10;20240926.007;3
640;20250515.049;2
638;20250513.045;2
637;20250513.039;2
636;20250513.038;2
635;20250513.036;2
634;20250513.035;2
633;20250513.031;2
618;20250408.071;2
617;20250408.069;2
563;20250403.035;2
550;20250401.008;2
549;20250401.007;2
548;20241212.064;2
547;20241212.063;2
546;20241212.062;2
541;20241212.057;2
535;20241212.049;2
534;20241212.048;2
532;20241212.046;2
531;20241212.044;2
530;20241212.043;2
503;20241210.108;2
501;20241210.106;2
500;20241210.104;2
497;20241210.100;2
496;20241210.099;2
495;20241210.098;2
489;20241210.085;2
478;20241210.069;2
476;20241210.067;2
474;20241210.065;2
473;20241210.064;2
471;20241210.062;2
468;20241210.059;2
466;20241210.057;2
463;20241210.054;2
462;20241210.053;2
461;20241210.052;2
458;20241210.044;2
447;20241210.021;2
446;20241210.020;2
444;20241210.014;2
441;20241210.010;2
440;20241210.009;2
439;20241210.008;2
431;20241203.052;2
428;20241203.042;2
427;20241203.039;2
422;20241203.033;2
420;20241203.031;2
415;20241203.026;2
413;20241203.023;2
412;20241203.022;2
409;20241203.019;2
408;20241203.016;2
407;20241203.011;2
405;20241203.008;2
404;20241203.007;2
403;20241128.097;2
402;20241128.096;2
399;20241128.093;2
395;20241128.089;2
394;20241128.088;2
392;20241128.086;2
388;20241128.080;2
385;20241128.075;2
359;20241128.037;2
353;20241128.014;2
352;20241128.013;2
351;20241128.011;2
350;20241128.010;2
348;20241128.008;2
329;20241127.032;2
328;20241127.031;2
322;20241127.025;2
321;20241127.024;2
318;20241127.021;2
314;20241127.013;2
312;20241127.008;2
310;20241126.039;2
307;20241126.034;2
306;20241126.031;2
305;20241126.025;2
302;20241126.018;2
301;20241126.017;2
300;20241126.016;2
