;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
777;50209;OP23;FTM004+2520;20250429.039;2.2;1.0;True;True;1.0;True;3;;;;
778;50209;OP23;FTM004+2520;20250429.039;3.2;1.0;True;True;1.0;True;3;;;;
779;50209;OP23;FTM004+2520;20250429.039;4.2;1.0;True;True;1.0;True;3;;;;
899;50209;OP23;KJM008+2520;20250402.026;7.0;1.0;True;True;1.0;True;3;;;;
900;50209;OP23;KJM008+2520;20250402.026;10.0;1.0;True;True;1.0;True;3;;;;
901;50209;OP23;KJM008+2520;20250402.026;13.0;1.0;True;True;1.0;True;3;;;;
902;50209;OP23;KJM008+2520;20250402.026;16.0;1.0;True;True;1.0;True;3;;;;
903;50209;OP23;KJM008+2520;20250402.026;18.0;1.0;True;True;1.0;True;3;;;;
864;50209;OP23;KJM008+2520;20250402.023;4.0;1.0;True;True;0.9899360941981583;True;3;;;;
865;50209;OP23;KJM008+2520;20250402.023;7.0;1.0;True;True;0.9848644843365012;True;3;;;;
866;50209;OP23;KJM008+2520;20250402.023;10.0;1.0;True;True;0.9823987930600956;True;3;;;;
863;50209;OP23;KJM008+2520;20250402.023;1.0;1.0;True;True;0.9773744280758208;True;3;;;;
1012;50209;OP23;KJM008+2520;20250402.024;16.0;1.0;True;True;0.9773173062415128;True;3;;;;
868;50209;OP23;KJM008+2520;20250402.023;16.0;1.0;True;True;0.9772658686248868;True;3;;;;
1011;50209;OP23;KJM008+2520;20250402.024;13.0;1.0;True;True;0.9748630033683575;True;3;;;;
867;50209;OP23;KJM008+2520;20250402.023;13.0;1.0;True;True;0.9698265023887352;True;3;;;;
1014;50209;OP23;KJM008+2520;20250402.024;20.0;1.0;True;True;0.9647887323943662;True;3;;;;
1007;50209;OP23;KJM008+2520;20250402.024;1.0;1.0;True;True;0.9622423328305681;True;3;;;;
1009;50209;OP23;KJM008+2520;20250402.024;7.0;1.0;True;True;0.959768669851647;True;3;;;;
1013;50209;OP23;KJM008+2520;20250402.024;18.0;1.0;True;True;0.9571514785757392;True;3;;;;
1010;50209;OP23;KJM008+2520;20250402.024;10.0;1.0;True;True;0.9571119714415003;True;3;;;;
1008;50209;OP23;KJM008+2520;20250402.024;4.0;1.0;True;True;0.9420639710319855;True;3;;;;
991;50209;OP23;KJM008+2520;20250402.021;1.0;1.0;True;True;0.914466737064414;True;3;;;;
776;50209;OP23;FTM004+2520;20250429.039;1.2000000000000002;1.0;True;True;0.907063993997213;True;3;;;;
994;50209;OP23;KJM008+2520;20250402.021;10.0;1.0;True;True;0.8942815470502439;True;3;;;;
995;50209;OP23;KJM008+2520;20250402.021;13.0;1.0;True;True;0.8793484818017293;True;3;;;;
997;50209;OP23;KJM008+2520;20250402.021;18.0;1.0;True;True;0.8767791580747372;True;3;;;;
993;50209;OP23;KJM008+2520;20250402.021;7.0;1.0;True;True;0.8617117570149854;True;3;;;;
998;50209;OP23;KJM008+2520;20250402.021;20.0;1.0;True;True;0.8591336720833124;True;3;;;;
996;50209;OP23;KJM008+2520;20250402.021;16.0;1.0;True;True;0.851557389422835;True;3;;;;
992;50209;OP23;KJM008+2520;20250402.021;4.0;1.0;True;True;0.8063964598209796;True;3;;;;
859;50209;OP23;KJM008+2520;20250402.013;13.0;0.8440366972477065;True;True;0.7844320410318298;True;3;;;;
784;50209;OP23;KJM008+2520;20250402.015;1.0;0.7545454545454545;True;True;0.7094339622641509;True;3;;;;
858;50209;OP23;KJM008+2520;20250402.013;10.0;0.7850467289719626;True;True;0.706456154465004;True;3;;;;
853;50209;OP23;KJM008+2520;20250402.016;18.0;0.7171717171717171;True;True;0.6736376432736778;True;3;;;;
973;50209;OP23;KJM008+2520;20250402.020;18.0;0.7037037037037037;True;True;0.658556203498894;True;3;;;;
1005;50209;OP23;KJM008+2520;20250402.018;18.0;0.6504854368932039;True;True;0.6434747637241102;True;3;;;;
970;50209;OP23;KJM008+2520;20250402.020;10.0;0.7181818181818181;True;True;0.6159802886307638;True;3;;;;
851;50209;OP23;KJM008+2520;20250402.016;13.0;0.67;True;True;0.6083764895168183;True;3;;;;
783;50209;OP23;KJM008+2520;20250402.014;4.0;0.5571428571428572;True;True;0.5887681159420289;True;3;;;;
847;50209;OP23;KJM008+2520;20250402.016;1.0;0.6276595744680851;True;True;0.57858724089354;True;3;;;;
785;50209;OP23;KJM008+2520;20250402.015;4.0;0.6372549019607843;True;True;0.5583781880376276;True;3;;;;
848;50209;OP23;KJM008+2520;20250402.016;4.0;0.6571428571428571;True;True;0.5556673036306949;True;3;;;;
872;50209;OP23;KJM008+2520;20250402.019;10.0;0.6696428571428571;True;True;0.5456099768681485;True;3;;;;
875;50209;OP23;KJM008+2520;20250402.019;18.0;0.6574074074074074;True;True;0.5456099768681485;True;3;;;;
860;50209;OP23;KJM008+2520;20250402.013;16.0;0.6071428571428571;True;True;0.5407172677430713;True;3;;;;
782;50209;OP23;KJM008+2520;20250402.014;1.0;0.6267605633802817;True;True;0.5383106102530563;True;3;;;;
775;50209;OP23;FTM004+2520;20250429.008;1.0;0.5771812080536913;True;True;0.5284614223161709;True;3;;;;
857;50209;OP23;KJM008+2520;20250402.013;7.0;0.5841584158415841;True;True;0.5255217500628615;True;3;;;;
856;50209;OP23;KJM008+2520;20250402.013;4.0;0.6082474226804123;True;True;0.5254953233430554;True;3;;;;
972;50209;OP23;KJM008+2520;20250402.020;16.0;0.5904761904761905;True;True;0.523059900417442;True;3;;;;
852;50209;OP23;KJM008+2520;20250402.016;16.0;0.5794392523364486;True;True;0.5154639175257731;True;3;;;;
869;50209;OP23;KJM008+2520;20250402.019;1.0;0.6181818181818182;True;True;0.510306686777275;True;3;;;;
870;50209;OP23;KJM008+2520;20250402.019;4.0;0.58;True;True;0.5005533755911058;True;3;;;;
854;50209;OP23;KJM008+2520;20250402.016;20.0;0.6;True;True;0.5004275008801489;True;3;;;;
861;50209;OP23;KJM008+2520;20250402.013;18.0;0.5742574257425742;True;True;0.4952237305178482;True;3;;;;
