;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
2659;50209;OP23;EIM000+2520;20250408.044;13.0;1.0;False;True;1.0;False;3;1e+21;7.306999999999999e+19;10.05;
2660;50209;OP23;EIM000+2520;20250408.044;14.0;1.0;False;True;0.9974844033004628;False;3;1e+21;4.896e+19;10.26;
2658;50209;OP23;EIM000+2520;20250408.044;11.0;1.0;False;True;0.9974830103196577;False;3;0.0;;11.15;2442.45
2656;50209;OP23;EIM000+2520;20250408.044;7.0;1.0;False;True;0.9949703249170103;False;3;;;;
1213;50209;OP22;EIM000+2520;20241106.019;19.0;1.0;False;True;0.9924672324612063;False;3;;;;
1958;50209;OP22;EIM000+2520;20241105.062;3.8;1.0;False;True;0.9924668541582965;False;3;;;;
1307;50209;OP22;EIM000+2520;20241128.036;8.6;1.0;False;True;0.9924600382024731;False;3;;;;
2685;50209;OP23;EIM000+2520;20250408.045;9.0;0.9815225424981523;False;True;0.9924592801126081;False;3;1e+21;4.778e+19;10.6;
2657;50209;OP23;EIM000+2520;20250408.044;9.0;1.0;False;True;0.9924044265593561;False;3;1e+21;7.488e+19;10.47;
2687;50209;OP23;EIM000+2520;20250408.045;13.0;0.9888143176733781;False;True;0.9923560472718129;False;3;;;;
1908;50209;OP22;EIM000+2520;20241105.031;11.6;1.0;False;True;0.9874346602332127;False;3;;;;
1913;50209;OP22;EIM000+2520;20241105.030;11.6;1.0;False;True;0.9874296057924377;False;3;7.363099999999999e+20;1.2101e+20;200.0;96.76
2683;50209;OP23;EIM000+2520;20250408.045;5.0;0.9920063948840927;False;True;0.9874277093286397;False;3;1e+21;5.392e+19;11.71;
2017;50209;OP22;EIM000+2520;20241105.038;8.3;1.0;False;True;0.9874264447015038;False;3;7.9492e+20;2.0345e+20;200.0;142.15
2686;50209;OP23;EIM000+2520;20250408.045;11.0;0.9827727645611156;False;True;0.9874239146838372;False;3;;;;
1303;50209;OP22;EIM000+2520;20241128.033;8.6;1.0;False;True;0.9873226682764865;False;3;;;;
1955;50209;OP22;EIM000+2520;20241105.055;8.82;1.0;False;True;0.9849162853838805;False;3;;;;
1905;50209;OP22;EIM000+2520;20241105.031;2.0;1.0;False;True;0.9849094567404426;False;3;7.3098e+20;1.5834e+20;200.0;120.72
1929;50209;OP22;EIM000+2520;20241105.032;14.7;1.0;False;True;0.9849056603773585;False;3;8.236299999999999e+20;1.7082e+20;200.0;114.24
1950;50209;OP22;EIM000+2520;20241105.058;10.82;1.0;False;True;0.9849033816425121;False;3;;;;
1914;50209;OP22;EIM000+2520;20241105.030;14.7;1.0;False;True;0.9824085243264978;False;3;1e+21;6.049e+19;12.34;
1912;50209;OP22;EIM000+2520;20241105.030;8.3;1.0;False;True;0.9824023329478606;False;3;6.0776e+20;9.382e+19;200.0;92.46
1297;50209;OP22;EIM000+2520;20241128.024;8.6;1.0;False;True;0.9823502790767838;False;3;;;;
2010;50209;OP22;EIM000+2520;20241105.034;2.0;1.0;False;True;0.9823458404587063;False;3;0.0;;22.66;5432.91
1909;50209;OP22;EIM000+2520;20241105.031;14.7;1.0;False;True;0.9823440643863179;False;3;1e+21;7.393e+19;11.73;
2009;50209;OP22;EIM000+2520;20241105.033;14.7;1.0;False;True;0.9823422879565349;False;3;1e+21;7.838e+19;12.65;
2653;50209;OP23;EIM000+2520;20250408.044;1.0;1.0;False;True;0.9822937625754528;False;3;1e+21;5.818e+19;12.79;2.64
1948;50209;OP22;EIM000+2520;20241105.058;6.82;1.0;False;True;0.9799005075121853;False;3;;;;
1988;50209;OP22;EIM000+2520;20241105.061;8.82;1.0;False;True;0.9798694779116466;False;3;8.163899999999999e+20;9.546e+19;200.0;60.86
1947;50209;OP22;EIM000+2520;20241105.058;4.82;1.0;False;True;0.9798391151332327;False;3;;;;
1938;50209;OP22;EIM000+2520;20241105.043;11.6;1.0;False;True;0.9798350598410942;False;3;7.7916e+20;2.5810000000000003e+20;200.0;183.23
1906;50209;OP22;EIM000+2520;20241105.031;5.0;1.0;False;True;0.979834045763138;False;3;7.4541e+20;1.5851e+20;200.0;117.69
2022;50209;OP22;EIM000+2520;20241105.040;8.3;1.0;False;True;0.979834045763138;False;3;0.0;;21.84;736.46
2684;50209;OP23;EIM000+2520;20250408.045;7.0;0.9825072886297376;False;True;0.9798289738430583;False;3;1e+21;4.697e+19;11.44;
1295;50209;OP22;EIM000+2520;20241128.024;2.6;1.0;False;True;0.9798228841702727;False;3;;;;
2655;50209;OP23;EIM000+2520;20250408.044;5.0;0.9993569131832798;False;True;0.979728370221328;False;3;;;;
1447;50209;OP22;EIM000+2520;20241128.070;12.2;1.0;False;True;0.9773698767915514;False;3;;;;
1316;50209;OP22;EIM000+2520;20241128.029;8.6;1.0;False;True;0.9773653236758715;False;3;;;;
2002;50209;OP22;EIM000+2520;20241105.036;8.3;1.0;False;True;0.9773275688719083;False;3;7.5562e+20;1.8085e+20;200.0;135.37
2688;50209;OP23;EIM000+2520;20250408.045;14.0;0.9738675958188153;False;True;0.9773241490271004;False;3;1e+21;5.269e+19;10.39;
1957;50209;OP22;EIM000+2520;20241105.062;0.8199999999999998;1.0;False;True;0.9773116007646645;False;3;1e+21;4.229e+19;11.35;
1930;50209;OP22;EIM000+2520;20241105.037;2.0;1.0;False;True;0.9772635814889336;False;3;7.0413e+20;1.4527000000000002e+20;200.0;114.01
1949;50209;OP22;EIM000+2520;20241105.058;8.82;1.0;False;True;0.9748655305886492;False;3;;;;
1445;50209;OP22;EIM000+2520;20241128.070;8.2;1.0;False;True;0.9748516245850518;False;3;;;;
2000;50209;OP22;EIM000+2520;20241105.036;2.0;1.0;False;True;0.9748203246720611;False;3;7.717e+20;1.7292e+20;200.0;124.48
1928;50209;OP22;EIM000+2520;20241105.032;11.6;1.0;False;True;0.9748165275962601;False;3;1e+21;5.126e+19;12.11;
2024;50209;OP22;EIM000+2520;20241105.040;14.7;1.0;False;True;0.9748025951818136;False;3;1e+21;8.924e+19;12.57;
1452;50209;OP22;EIM000+2520;20241128.070;22.2;1.0;False;True;0.9747987927565392;False;3;;;;
1972;50209;OP22;EIM000+2520;20241105.057;10.82;1.0;False;True;0.9747886473429952;False;3;;;;
1956;50209;OP22;EIM000+2520;20241105.055;10.82;1.0;False;True;0.9747611865258924;False;3;;;;
2681;50209;OP23;EIM000+2520;20250408.045;1.0;1.0;False;True;0.9747497610784166;False;3;;;;
1992;50209;OP22;EIM000+2520;20241105.039;8.3;1.0;False;True;0.9747223478566762;False;3;6.1277e+20;1.3206e+20;200.0;119.8
1907;50209;OP22;EIM000+2520;20241105.031;8.3;1.0;False;True;0.9747096384936397;False;3;1e+21;7.668e+19;12.05;
1315;50209;OP22;EIM000+2520;20241128.029;5.6;1.0;False;True;0.9723032069970845;False;3;;;;
1944;50209;OP22;EIM000+2520;20241105.041;14.7;1.0;False;True;0.9722934580379142;False;3;4.6411e+20;1.5876e+20;200.0;185.69
1453;50209;OP22;EIM000+2520;20241128.070;24.2;1.0;False;True;0.9722878841221144;False;3;;;;
1925;50209;OP22;EIM000+2520;20241105.032;2.0;1.0;False;True;0.9722837022132796;False;3;;;;
1934;50209;OP22;EIM000+2520;20241105.037;14.7;1.0;False;True;0.9722725442834138;False;3;1e+21;8.692e+19;12.21;
1933;50209;OP22;EIM000+2520;20241105.037;11.6;1.0;False;True;0.9722543352601156;False;3;9.8113e+20;7.043000000000001e+19;12.69;
1954;50209;OP22;EIM000+2520;20241105.055;6.82;1.0;False;True;0.9722473604826546;False;3;;;;
2018;50209;OP22;EIM000+2520;20241105.038;11.6;1.0;False;True;0.972129992957038;False;3;1e+21;7.634e+19;11.63;
1448;50209;OP22;EIM000+2520;20241128.070;14.2;1.0;False;True;0.9698371204504324;False;3;;;;
1911;50209;OP22;EIM000+2520;20241105.030;5.0;1.0;False;True;0.9698295368833911;False;3;6.3699e+20;3.25e+18;14.01;0.45
1926;50209;OP22;EIM000+2520;20241105.032;5.0;0.9988571428571429;False;True;0.9698265023887352;False;3;1e+21;4.914e+19;12.76;
2654;50209;OP23;EIM000+2520;20250408.044;3.0;0.9954710144927537;False;True;0.9698158768487776;False;3;7.203300000000001e+20;1.1603e+20;200.0;92.87
1302;50209;OP22;EIM000+2520;20241128.033;5.6;1.0;False;True;0.9697822917190406;False;3;;;;
