;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_change;R_limit_failure;ne;std_ne;Te;std_Te
0;50209;OP22;AIM000+2520;20241211.006;1.0;0.0;False;0.040213129586810094;1.99e+18;1e+16;12.82;0.1
1;50209;OP22;AIM000+2520;20241211.006;4.0;0.01098901098901099;True;0.04021919461062792;4.3099999999999995e+18;2e+16;10.64;0.09
2;50209;OP22;AIM000+2520;20241211.006;7.0;0.47191011235955055;True;0.12591773106708237;1.061e+19;7.000000000000001e+16;10.07;0.14
3;50209;OP22;AIM000+2520;20241211.006;10.0;0.0;False;0.11313354786806114;2.83e+18;5e+16;14.08;0.6
4;50209;OP22;AIM000+2520;20241211.006;13.0;0.0;False;0.07541098989492735;2.54e+18;2e+16;12.21;0.13
5;50209;OP22;AIM000+2520;20241211.008;1.0;0.011627906976744186;True;0.0;2.45e+18;1e+16;11.93;0.06
6;50209;OP22;AIM000+2520;20241211.008;3.0;0.0;False;0.0;1.73e+18;1e+17;18.01;3.04
7;50209;OP22;AIM000+2520;20241211.007;1.0;0.022727272727272728;True;0.015084473049074818;2.97e+18;5e+16;15.23;0.65
8;50209;OP22;AIM000+2520;20241211.007;3.0;0.0;False;0.03521658197917191;2.67e+18;1e+16;10.91;0.06
9;50209;OP22;AIM000+2520;20241211.010;1.0;0.0;False;0.0;2.2200000000000003e+18;1e+16;27.67;0.37
10;50209;OP22;AIM000+2520;20241211.010;3.0;0.0;False;0.0;2.13e+18;1e+16;10.61;0.06
11;50209;OP22;AIM000+2520;20241211.009;1.0;0.0;False;0.0025139524360199106;1.83e+18;1e+16;11.73;0.07
12;50209;OP22;AIM000+2520;20241211.009;3.0;0.0;False;0.0025147110596992405;1.66e+18;1e+16;12.21;0.11
13;50209;OP22;AIM000+2520;20241211.011;1.0;0.0;False;0.0;1.68e+18;1e+16;12.18;0.17
14;50209;OP22;AIM000+2520;20241211.011;3.0;0.0;False;0.0025134469411350726;1.71e+18;1e+16;12.32;0.17
15;50209;OP22;AIM000+2520;20241211.012;1.0;0.08791208791208792;True;0.09314489765125987;;;;
16;50209;OP22;AIM000+2520;20241211.012;5.0;0.0;False;0.0;;;;
17;50209;OP22;AIM000+2520;20241211.014;1.0;0.011764705882352941;True;0.0;2.35e+18;1e+16;24.15;0.23
18;50209;OP22;AIM000+2520;20241211.014;3.0;0.0;False;0.0;1.73e+18;1e+16;10.86;0.06
19;50209;OP22;AIM000+2520;20241211.013;1.0;0.05319148936170213;True;0.06286461476564072;;;;
20;50209;OP22;AIM000+2520;20241211.013;5.0;0.0;False;0.0;;;;
21;50209;OP22;AIM000+2520;20241211.015;1.0;0.07216494845360824;True;0.02012072434607646;4.33e+18;1e+16;11.79;0.06
22;50209;OP22;AIM000+2520;20241211.015;5.0;0.011764705882352941;True;0.017606519442627897;3.71e+18;2e+16;10.73;0.12
23;50209;OP22;AIM000+2520;20241211.016;1.0;0.08163265306122448;True;0.04023537695518785;4.58e+18;2e+16;11.29;0.07
24;50209;OP22;AIM000+2520;20241211.016;5.0;0.0;False;0.10072955974842768;3.93e+18;2e+16;10.84;0.08
25;50209;OP22;AIM000+2520;20241211.016;9.0;0.011627906976744186;False;0.10815023379757654;3.76e+18;3e+16;11.02;0.16
26;50209;OP22;AIM000+2520;20241211.016;13.0;0.010869565217391304;True;0.020121736505860455;4.16e+18;3e+16;12.23;0.18
27;50209;OP22;AIM000+2520;20241211.017;1.0;0.052083333333333336;True;0.027758221864628382;4.5e+18;1e+16;11.63;0.06
28;50209;OP22;AIM000+2520;20241211.017;5.0;0.0;False;0.10313269975360788;3.71e+18;3e+16;11.43;0.16
29;50209;OP22;AIM000+2520;20241211.017;9.0;0.011235955056179775;True;0.03267809562113519;3.72e+18;2e+16;11.21;0.1
30;50209;OP22;AIM000+2520;20241211.017;13.0;0.033707865168539325;True;0.03519533410427875;4.3499999999999995e+18;2e+16;10.28;0.06
31;50209;OP22;AIM000+2520;20241211.017;17.0;0.011235955056179775;True;0.01508523155830442;4.41e+18;2e+16;9.64;0.06
32;50209;OP22;AIM000+2520;20241211.017;21.0;0.023529411764705882;True;0.025139524360199107;4.1500000000000005e+18;2e+16;10.19;0.07
33;50209;OP22;AIM000+2520;20241211.018;1.0;0.38202247191011235;True;0.12347852328739563;7.78e+18;4e+16;10.88;0.1
34;50209;OP22;AIM000+2520;20241211.018;4.5;0.2127659574468085;True;0.1259680177008951;6.66e+18;3e+16;11.31;0.09
35;50209;OP22;AIM000+2520;20241211.018;8.0;0.4044943820224719;True;0.11581594166457128;7.53e+18;4e+16;10.73;0.12
36;50209;OP22;AIM000+2520;20241211.020;1.0;0.02247191011235955;True;0.027656257856891436;3.29e+18;2e+16;12.29;0.12
37;50209;OP22;AIM000+2520;20241211.020;5.0;0.0;False;0.050268938822701455;2.34e+18;1e+16;11.98;0.1
38;50209;OP22;AIM000+2520;20241211.020;9.0;0.0;False;0.0075407198873919164;1.67e+18;1e+16;12.09;0.15
39;50209;OP22;AIM000+2520;20241211.020;13.0;0.0;False;0.0;1.54e+18;1e+16;12.19;0.12
40;50209;OP22;AIM000+2520;20241211.020;17.0;0.0;False;0.0;1.54e+18;1e+16;11.6;0.16
41;50209;OP22;AIM000+2520;20241211.020;21.0;0.0;False;0.0025148375414948193;1.55e+18;1e+16;11.3;0.14
42;50209;OP22;AIM000+2520;20241211.020;25.0;0.0;False;0.007540340823405218;1.49e+18;1e+16;12.85;0.26
43;50209;OP22;AIM000+2520;20241211.020;29.0;0.0;False;0.0;1.56e+18;1e+16;11.44;0.11
