;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_change;R_limit_failure;ne;std_ne;Te;std_Te
0;50209;OP22;EIM000+2520;20241119.049;2.0;0.0;False;0.04525114384835839;2.32e+18;5e+16;11.59;0.26
1;50209;OP22;EIM000+2520;20241119.049;7.0;0.0;False;0.0;;;;
2;50209;OP22;EIM000+2520;20241119.051;2.0;0.0;False;0.09051594086291864;2.72e+18;4e+16;13.53;0.28
3;50209;OP22;EIM000+2520;20241119.051;7.0;0.0;False;0.0;;;;
4;50209;OP22;EIM000+2520;20241119.053;2.0;0.13333333333333333;True;0.15867826786702208;;;;
5;50209;OP22;EIM000+2520;20241119.053;7.0;0.5051546391752577;True;0.21153459372485922;;;;
6;50209;OP22;EIM000+2520;20241119.053;12.0;0.0;False;0.0;;;;
7;50209;OP22;EIM000+2520;20241119.058;2.0;0.0;True;0.12838041620589122;;;;
8;50209;OP22;EIM000+2520;20241119.058;7.0;0.5785123966942148;True;0.24418078527977477;;;;
9;50209;OP22;EIM000+2520;20241119.058;12.0;0.5478260869565217;True;0.23418167186399758;;;;
10;50209;OP22;EIM000+2520;20241119.058;17.0;0.0;False;0.0;;;;
11;50209;OP22;EIM000+2520;20241119.055;2.0;0.0;False;0.15109143949300874;5.72e+18;1.1e+17;11.14;0.69
12;50209;OP22;EIM000+2520;20241119.055;7.0;0.0;False;0.0;;;;
13;50209;OP22;EIM000+2520;20241119.061;2.0;0.0;False;0.07298792756539235;6.26e+18;5e+16;14.88;0.24
14;50209;OP22;EIM000+2520;20241119.061;7.0;0.0;False;0.0;;;;
15;50209;OP22;EIM000+2520;20241119.067;2.0;0.0;False;0.12839977879442965;5.16e+18;8e+16;11.42;0.36
16;50209;OP22;EIM000+2520;20241119.067;7.0;0.0;False;0.0;;;;
17;50209;OP22;EIM000+2520;20241119.064;2.0;0.012048192771084338;True;0.1283766789073897;4.73e+18;7.000000000000001e+16;11.66;0.28
18;50209;OP22;EIM000+2520;20241119.064;7.0;0.0;False;0.0;;;;
19;50209;OP22;EIM000+2520;20241119.071;2.0;0.0;False;0.11584078801889637;3.45e+18;5e+16;12.03;0.21
20;50209;OP22;EIM000+2520;20241119.071;7.0;0.0;False;0.0;0.0;;3.33;
21;50209;OP22;EIM000+2520;20241119.013;2.0;0.0;False;0.07300150829562595;2.13e+18;3e+16;12.96;0.22
22;50209;OP22;EIM000+2520;20241119.013;7.0;0.0;False;0.0;0.0;;3.33;
23;50209;OP22;EIM000+2520;20241119.017;2.0;0.0;False;0.020111619488159285;;;;
24;50209;OP22;EIM000+2520;20241119.019;2.0;0.0;False;0.04772190686693123;;;;
25;50209;OP22;EIM000+2520;20241119.037;2.0;0.011363636363636364;True;0.12342885872297638;5.25e+18;3e+16;11.71;0.08
26;50209;OP22;EIM000+2520;20241119.037;7.0;0.0;False;0.0;;;;
27;50209;OP22;EIM000+2520;20241119.034;2.0;0.011235955056179775;True;0.14591605931138477;;;;
28;50209;OP22;EIM000+2520;20241119.034;7.0;0.03488372093023256;False;0.1687364875056564;;;;
29;50209;OP22;EIM000+2520;20241119.034;12.0;0.0;False;0.0;;;;
30;50209;OP22;EIM000+2520;20241119.034;17.0;0.0;False;0.0;;;;
31;50209;OP22;EIM000+2520;20241119.029;2.0;0.0;False;0.0;;;;
32;50209;OP22;EIM000+2520;20241119.033;2.0;0.0;False;0.09805991154000804;;;;
33;50209;OP22;EIM000+2520;20241119.033;7.0;0.011764705882352941;True;0.10829852548940667;;;;
34;50209;OP22;EIM000+2520;20241119.033;12.0;0.0;False;0.0;;;;
35;50209;OP22;EIM000+2520;20241119.035;2.0;0.08602150537634409;True;0.1636912245411114;;;;
36;50209;OP22;EIM000+2520;20241119.032;2.0;0.0;False;0.0;;;;
37;50209;OP22;EIM000+2520;20241119.031;2.0;0.0;False;0.0;;;;
38;50209;OP22;EIM000+2520;20241119.028;2.0;0.34065934065934067;True;0.18128801970740535;;;;
39;50209;OP22;EIM000+2520;20241119.028;7.0;0.29411764705882354;True;0.20134802072330366;;;;
40;50209;OP22;EIM000+2520;20241119.028;12.0;0.39361702127659576;True;0.18629668727693158;;;;
41;50209;OP22;EIM000+2520;20241119.028;17.0;0.0;False;0.0;;;;
42;50209;OP22;EIM000+2520;20241119.021;2.0;0.012048192771084338;True;0.13851725178553465;3.79e+18;3e+16;10.31;0.15
43;50209;OP22;EIM000+2520;20241119.021;7.0;0.2988505747126437;True;0.18635197020784058;5.42e+18;1.6e+17;9.64;0.65
44;50209;OP22;EIM000+2520;20241119.021;12.0;0.0;False;0.11318382944489139;2.55e+18;2.3e+17;7.88;1.43
45;50209;OP22;EIM000+2520;20241119.014;2.0;0.12790697674418605;True;0.17386489479512734;3.18e+18;9e+16;9.83;0.64
46;50209;OP22;EIM000+2520;20241119.014;7.0;0.0;False;0.0;0.0;0.0;1.0;1.35
47;50209;OP22;EIM000+2520;20241119.020;2.0;0.011904761904761904;True;0.13601850455071152;3.21e+18;4e+16;11.16;0.23
48;50209;OP22;EIM000+2520;20241119.020;7.0;0.03333333333333333;True;0.1308721456593904;3.43e+18;3e+16;10.58;0.14
49;50209;OP22;EIM000+2520;20241119.020;12.0;0.06315789473684211;True;0.14351060621292852;4.24e+18;5e+16;12.22;0.28
50;50209;OP22;EIM000+2520;20241119.024;2.0;0.0;False;0.03017956843217142;4.59e+18;4e+16;12.37;0.21
51;50209;OP22;EIM000+2520;20241119.024;7.0;0.0;False;0.0;;;;
52;50209;OP22;EIM000+2520;20241119.027;2.0;0.0;False;0.02012781160368339;4.1500000000000005e+18;4e+16;12.64;0.21
53;50209;OP22;EIM000+2520;20241119.027;7.0;0.0;False;0.0;0.0;;3.33;
54;50209;OP22;EIM000+2520;20241119.026;2.0;0.0;False;0.0;;;;
55;50209;OP22;EIM000+2520;20241119.038;2.0;0.02197802197802198;True;0.13849481839219238;5.48e+18;6e+16;11.81;0.24
56;50209;OP22;EIM000+2520;20241119.038;7.0;0.0;False;0.0;;;;
57;50209;OP22;EIM000+2520;20241119.039;2.0;0.15384615384615385;True;0.2090566037735849;1.548e+19;6e+16;11.17;0.08
58;50209;OP22;EIM000+2520;20241119.039;7.0;0.0;False;0.16122705556952477;1.019e+19;1.1e+17;9.91;0.19
59;50209;OP22;EIM000+2520;20241119.041;2.0;0.0;False;0.11575401015738924;8.91e+18;1e+17;15.91;0.33
60;50209;OP22;EIM000+2520;20241119.041;7.0;0.0;False;0.0;;;;
61;50209;OP22;EIM000+2520;20241119.045;2.0;0.0;False;0.13102303591188008;2.77e+18;5e+16;12.02;0.27
62;50209;OP22;EIM000+2520;20241119.045;7.0;0.0;False;0.0;2e+16;;17.57;
63;50209;OP22;EIM000+2520;20241121.013;0.5;0.0;False;0.05283796691971243;;;;
64;50209;OP22;EIM000+2520;20241121.013;3.5;0.011363636363636364;True;0.13851725178553465;;;;
65;50209;OP22;EIM000+2520;20241121.013;7.0;0.023529411764705882;True;0.14106046886004628;;;;
66;50209;OP22;EIM000+2520;20241121.013;10.0;0.07777777777777778;True;0.1486153691511283;;;;
67;50209;OP22;EIM000+2520;20241121.013;14.0;0.125;True;0.1284708249496982;;;;
68;50209;OP22;EIM000+2520;20241121.013;18.0;0.0;False;0.0;;;;
69;50209;OP22;EIM000+2520;20241121.014;0.5;0.011494252873563218;True;0.08553326293558607;4.5700000000000005e+18;4e+16;12.09;0.15
70;50209;OP22;EIM000+2520;20241121.014;3.5;0.022727272727272728;True;0.1509604747058232;1.214e+19;8e+16;16.37;0.21
71;50209;OP22;EIM000+2520;20241121.014;7.0;0.045454545454545456;True;0.12577319587628866;5.16e+18;3e+16;17.13;0.18
72;50209;OP22;EIM000+2520;20241121.014;10.0;0.1188118811881188;True;0.1535059060065343;1.033e+19;3e+16;16.07;0.1
73;50209;OP22;EIM000+2520;20241121.014;14.0;0.08;True;0.0753693096171239;7.49e+18;4e+16;27.83;0.31
