;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
407;50209;OP23;FTM004+2520;20250429.039;3.2;1.0;True;True;1.0;True;3;;;;
408;50209;OP23;FTM004+2520;20250429.039;4.2;1.0;True;True;1.0;True;3;;;;
406;50209;OP23;FTM004+2520;20250429.039;2.2;1.0;True;True;0.9787482290190849;True;3;;;;
620;50209;OP23;KJM008+2520;20250402.021;1.0;1.0;True;True;0.8666968371297833;True;3;;;;
623;50209;OP23;KJM008+2520;20250402.021;10.0;1.0;True;True;0.8138107931398683;True;3;;;;
624;50209;OP23;KJM008+2520;20250402.021;13.0;1.0;True;True;0.8064548562236075;True;3;;;;
493;50209;OP23;KJM008+2520;20250402.023;4.0;1.0;True;True;0.7756755396769486;True;3;;;;
488;50209;OP23;KJM008+2520;20250402.013;13.0;0.8440366972477065;True;True;0.7693468094735254;True;3;;;;
622;50209;OP23;KJM008+2520;20250402.021;7.0;1.0;True;True;0.7661671527707935;True;3;;;;
621;50209;OP23;KJM008+2520;20250402.021;4.0;1.0;True;True;0.7435381675550639;True;3;;;;
627;50209;OP23;KJM008+2520;20250402.021;20.0;1.0;True;True;0.7358756351562107;True;3;;;;
625;50209;OP23;KJM008+2520;20250402.021;16.0;1.0;True;True;0.7282745433502742;True;3;;;;
626;50209;OP23;KJM008+2520;20250402.021;18.0;1.0;True;True;0.7208670723733843;True;3;;;;
413;50209;OP23;KJM008+2520;20250402.015;1.0;0.7545454545454545;True;True;0.7018867924528301;True;3;;;;
487;50209;OP23;KJM008+2520;20250402.013;10.0;0.7850467289719626;True;True;0.6938857602574416;True;3;;;;
495;50209;OP23;KJM008+2520;20250402.023;10.0;1.0;True;True;0.6872014080965552;True;3;;;;
496;50209;OP23;KJM008+2520;20250402.023;13.0;1.0;True;True;0.674528539099824;True;3;;;;
494;50209;OP23;KJM008+2520;20250402.023;7.0;1.0;True;True;0.6722984864484336;True;3;;;;
497;50209;OP23;KJM008+2520;20250402.023;16.0;1.0;True;True;0.6672366965094055;True;3;;;;
482;50209;OP23;KJM008+2520;20250402.016;18.0;0.7171717171717171;True;True;0.6635833500904886;True;3;;;;
602;50209;OP23;KJM008+2520;20250402.020;18.0;0.7037037037037037;True;True;0.6510154836115021;True;3;;;;
