;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;Failed;ne;std_ne;Te;std_Te
44;51222;OP22;AIM000+2520;20241211.041;1.0;1.0;True;True;1.0;True;3;True;7.7295e+20;4.17e+18;30.13;2.06
46;51222;OP22;AIM000+2520;20241211.041;9.0;1.0;True;True;1.0;True;3;True;7.5048e+20;4.16e+18;18.02;0.54
180;51222;OP22;DIR001+2520;20241211.052;21.0;1.0;True;True;1.0;True;3;True;1e+21;2.04e+19;45.34;3.24
199;51222;OP22;DIR001+2520;20241211.062;17.0;1.0;True;True;1.0;True;3;True;1e+21;7.87e+18;15.55;0.55
200;51222;OP22;DIR001+2520;20241211.062;19.0;1.0;True;True;1.0;True;3;True;6.1854e+20;8.865099999999999e+20;22.36;64.63
201;51222;OP22;DIR001+2520;20241211.062;21.0;1.0;True;True;1.0;True;3;True;1e+21;1.057e+19;15.66;0.72
211;51222;OP22;DIR001+2520;20241211.063;11.0;1.0;True;True;1.0;True;3;True;1e+21;1.062e+19;32.43;1.42
212;51222;OP22;DIR001+2520;20241211.063;13.0;1.0;True;True;1.0;True;3;True;1e+21;1.7170000000000002e+19;11.67;0.74
316;51222;OP22;EIM000+2520;20241212.012;5.0;1.0;True;True;1.0;True;3;True;;;;
2245;51222;OP23;FMM002+1800;20250423.021;2.0;1.0;True;True;1.0;True;3;True;;;;
2378;51222;OP23;FTM004+1800;20250423.024;2.0;1.0;True;True;1.0;True;3;True;;;;
179;51222;OP22;DIR001+2520;20241211.052;19.0;1.0;True;True;0.9974881945142168;True;3;True;1e+21;5.055e+19;42.21;14.18
2244;51222;OP23;FMM002+1800;20250423.019;6.0;1.0;True;True;0.9974871846416725;True;3;True;;;;
308;51222;OP22;EIM000+2520;20241212.010;9.0;1.0;True;True;0.997486805730083;True;3;True;9.1357e+20;6.458e+19;200.0;55.99
198;51222;OP22;DIR001+2520;20241211.062;15.0;1.0;True;True;0.9974863003368357;True;3;True;1e+21;9.35e+18;15.82;0.7
213;51222;OP22;DIR001+2520;20241211.063;15.0;1.0;True;True;0.9974861739567622;True;3;True;9.1378e+20;6.71e+18;23.62;1.13
315;51222;OP22;EIM000+2520;20241212.012;3.0;1.0;True;True;0.9974857947402826;True;3;True;;;;
319;51222;OP22;EIM000+2520;20241212.011;3.0;1.0;True;True;0.9974856683093634;True;3;True;;;;
309;51222;OP22;EIM000+2520;20241212.010;11.0;1.0;True;True;0.9974380871050385;True;3;True;1.4991e+20;5.21e+19;200.0;147.34
159;51222;OP22;DIR001+2520;20241211.051;1.0;1.0;True;True;0.9974360263435724;True;3;True;1e+21;6.66e+18;23.56;0.89
87;51222;OP22;DIR001+2520;20241211.072;6.0;1.0;True;True;0.9974357685152597;True;3;True;9.9972e+20;1.339901e+22;7.4;196.66
2246;51222;OP23;FMM002+1800;20250423.021;4.0;0.9928571428571429;True;True;0.9949796676539987;True;3;True;;;;
157;51222;OP22;DIR001+2520;20241211.048;1.0;1.0;True;True;0.9949786593020337;True;3;True;5.7494000000000007e+20;2.8710000000000003e+20;43.6;105.38
158;51222;OP22;DIR001+2520;20241211.048;3.0;1.0;True;True;0.994975884244373;True;3;True;6.0208e+20;1.7106e+20;47.01;84.77
128;51222;OP22;DIR001+2520;20241211.077;16.0;1.0;True;True;0.9949748743718593;True;3;True;9.4858e+20;1.883e+19;33.33;2.98
296;51222;OP22;EIM000+2520;20241127.048;0.8700000000000001;1.0;True;True;0.9949741167010102;True;3;True;;;;
191;51222;OP22;DIR001+2520;20241211.062;1.0;1.0;True;True;0.994973864093285;True;3;True;7.7108e+20;2.505e+19;30.11;4.16
192;51222;OP22;DIR001+2520;20241211.062;3.0;1.0;True;True;0.9949733588016487;True;3;True;7.905700000000001e+20;3.7e+18;37.83;4.8
214;51222;OP22;DIR001+2520;20241211.063;17.0;1.0;True;True;0.9949731061177298;True;3;True;9.4594e+20;5.98e+18;26.3;0.92
175;51222;OP22;DIR001+2520;20241211.052;11.0;1.0;True;True;0.9949720951279601;True;3;True;1e+21;2.156e+19;44.26;3.49
178;51222;OP22;DIR001+2520;20241211.052;17.0;1.0;True;True;0.9949720951279601;True;3;True;5.7655999999999993e+20;8.663e+19;43.96;24.79
317;51222;OP22;EIM000+2520;20241212.012;7.0;1.0;True;True;0.9949720951279601;True;3;True;;;;
77;51222;OP22;DIR001+2520;20241211.071;6.0;1.0;True;True;0.9949718423169751;True;3;True;1e+21;1.737823e+22;7.62;262.28
318;51222;OP22;EIM000+2520;20241212.011;1.0;1.0;True;True;0.9949713366187267;True;3;True;;;;
141;51222;OP22;DIR001+2520;20241211.083;21.0;1.0;True;True;0.9949223266804083;True;3;True;5.6703999999999993e+20;5.4e+18;13.94;0.42
177;51222;OP22;DIR001+2520;20241211.052;15.0;1.0;True;True;0.9949207945687705;True;3;True;8.4688e+20;7.83e+18;28.71;1.6
176;51222;OP22;DIR001+2520;20241211.052;13.0;1.0;True;True;0.9949200281661804;True;3;True;1e+21;1.388e+19;34.16;1.98
220;51222;OP22;DIR001+2520;20241211.063;29.0;1.0;True;True;0.9949200281661804;True;3;True;9.536e+20;1.7649999999999998e+19;58.52;3.5
2538;51222;OP23;FTM004+2520;20250429.054;13.2;1.0;True;True;0.9948715370305193;True;3;True;;;;
2383;51222;OP23;FTM004+1800;20250423.025;2.0;0.9929577464788732;True;True;0.9924653405666064;True;3;True;;;;
