;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
163;20241211.083;3;15;DIR001+2520;OP22
155;20241211.074;3;15;DIR001+2520;OP22
151;20241211.063;3;15;DIR001+2520;OP22
150;20241211.062;3;15;DIR001+2520;OP22
147;20241211.052;3;15;DIR001+2520;OP22
689;20250507.026;1;12;EIM000+2520;OP23
746;20250508.069;1;11;EIM000+2520;OP23
682;20250507.009;1;10;EIM000+2520;OP23
161;20241211.080;3;9;DIR001+2520;OP22
688;20250507.025;1;9;EIM000+2520;OP23
687;20250507.023;1;9;EIM000+2520;OP23
686;20250507.022;1;9;EIM000+2520;OP23
204;20241212.055;3;8;EIM000+2520;OP22
202;20241212.053;3;8;EIM000+2520;OP22
195;20241212.046;3;8;EIM000+2520;OP22
190;20241212.039;3;8;EIM000+2520;OP22
174;20241212.021;3;8;EIM000+2520;OP22
173;20241212.020;3;8;EIM000+2520;OP22
165;20241212.010;3;8;EIM000+2520;OP22
271;20250226.072;3;7;DBM000-2520;OP23
267;20250226.064;3;7;DBM000-2520;OP23
149;20241211.055;3;7;DIR001+2520;OP22
769;20250508.093;1;7;EIM000+2520;OP23
761;20250508.084;1;7;EIM000+2520;OP23
760;20250508.083;1;7;EIM000+2520;OP23
758;20250508.081;1;7;EIM000+2520;OP23
756;20250508.079;1;7;EIM000+2520;OP23
754;20250508.077;1;7;EIM000+2520;OP23
753;20250508.076;1;7;EIM000+2520;OP23
751;20250508.074;1;7;EIM000+2520;OP23
750;20250508.073;1;7;EIM000+2520;OP23
748;20250508.071;1;7;EIM000+2520;OP23
745;20250508.068;1;7;EIM000+2520;OP23
744;20250508.066;1;7;EIM000+2520;OP23
743;20250508.065;1;7;EIM000+2520;OP23
742;20250508.064;1;7;EIM000+2520;OP23
160;20241211.079;3;6;DIR001+2520;OP22
158;20241211.077;3;6;DIR001+2520;OP22
75;20241127.044;3;6;EIM000+2520;OP22
765;20250508.088;1;6;EIM000+2520;OP23
759;20250508.082;1;6;EIM000+2520;OP23
755;20250508.078;1;6;EIM000+2520;OP23
749;20250508.072;1;6;EIM000+2520;OP23
683;20250507.010;1;6;EIM000+2520;OP23
681;20250507.008;1;6;EIM000+2520;OP23
269;20250226.068;3;5;DBM000-2520;OP23
211;20241212.062;3;5;EIM000+2520;OP22
210;20241212.061;3;5;EIM000+2520;OP22
208;20241212.059;3;5;EIM000+2520;OP22
184;20241212.033;3;5;EIM000+2520;OP22
148;20241211.054;3;5;DIR001+2520;OP22
773;20250508.097;1;5;EIM000+2520;OP23
764;20250508.087;1;5;EIM000+2520;OP23
762;20250508.085;1;5;EIM000+2520;OP23
752;20250508.075;1;5;EIM000+2520;OP23
396;20250401.086;3;4;DBM000+2520;OP23
392;20250401.080;3;4;DBM000+2520;OP23
385;20250401.070;3;4;DBM000+2520;OP23
384;20250401.069;3;4;DBM000+2520;OP23
266;20250226.062;3;4;DBM000-2520;OP23
264;20250226.058;3;4;DBM000-2520;OP23
213;20241212.064;3;4;EIM000+2520;OP22
206;20241212.057;3;4;EIM000+2520;OP22
157;20241211.076;3;4;DIR001+2520;OP22
136;20241211.036;3;4;AIM000+2520;OP22
133;20241211.033;3;4;AIM000+2520;OP22
774;20250508.098;1;4;EIM000+2520;OP23
772;20250508.096;1;4;EIM000+2520;OP23
767;20250508.090;1;4;EIM000+2520;OP23
685;20250507.021;1;4;EIM000+2520;OP23
390;20250401.077;3;3;DBM000+2520;OP23
268;20250226.066;3;3;DBM000-2520;OP23
156;20241211.075;3;3;DIR001+2520;OP22
154;20241211.072;3;3;DIR001+2520;OP22
153;20241211.071;3;3;DIR001+2520;OP22
141;20241211.042;3;3;AIM000+2520;OP22
140;20241211.041;3;3;AIM000+2520;OP22
139;20241211.039;3;3;AIM000+2520;OP22
138;20241211.038;3;3;AIM000+2520;OP22
137;20241211.037;3;3;AIM000+2520;OP22
135;20241211.035;3;3;AIM000+2520;OP22
132;20241211.032;3;3;AIM000+2520;OP22
131;20241211.031;3;3;AIM000+2520;OP22
130;20241211.030;3;3;AIM000+2520;OP22
129;20241211.029;3;3;AIM000+2520;OP22
680;20250507.007;1;3;EIM000+2520;OP23
679;20250507.006;1;3;EIM000+2520;OP23
